lead_id,provider_id,offered_at,rank_shown,purchased,contacted,converted,lead_price_gbp
L01565,P0044,2025-09-12,3,0,0,0,15.0
L01565,P0081,2025-09-12,4,1,1,0,10.0
L01565,P0028,2025-09-12,5,1,1,0,15.0
L02122,P0184,2025-09-12,1,1,1,0,8.0
L02122,P0078,2025-09-12,2,0,0,0,12.0
L02122,P0092,2025-09-12,3,1,1,1,8.0
L02122,P0051,2025-09-12,4,1,1,0,15.0
L02122,P0218,2025-09-12,5,1,1,0,12.0
L01362,P0204,2025-09-13,1,1,1,1,8.0
L01362,P0171,2025-09-13,2,1,1,0,10.0
L01362,P0127,2025-09-13,3,1,1,1,12.0
L01362,P0058,2025-09-13,4,1,1,0,15.0
L01362,P0019,2025-09-13,5,0,0,0,10.0
L01470,P0029,2025-09-13,1,0,0,0,8.0
L01470,P0070,2025-09-13,2,0,0,0,8.0
L01470,P0062,2025-09-13,3,1,1,1,8.0
L01470,P0181,2025-09-13,4,0,0,0,12.0
L01470,P0110,2025-09-13,5,1,1,0,8.0
L02935,P0013,2025-09-13,1,1,1,0,10.0
L02935,P0098,2025-09-13,2,0,0,0,8.0
L02935,P0217,2025-09-13,3,0,0,0,8.0
L02935,P0121,2025-09-13,4,0,0,0,15.0
L02935,P0182,2025-09-13,5,0,0,0,8.0
L00788,P0158,2025-09-14,1,0,0,0,12.0
L00788,P0002,2025-09-14,2,1,1,1,15.0
L00788,P0111,2025-09-14,3,1,1,1,12.0
L00788,P0094,2025-09-14,4,1,1,1,15.0
L00788,P0008,2025-09-14,5,0,0,0,10.0
L00648,P0044,2025-09-15,1,1,0,0,10.0
L00648,P0116,2025-09-15,2,1,1,0,15.0
L00648,P0056,2025-09-15,3,1,0,0,10.0
L00648,P0020,2025-09-15,4,1,1,0,12.0
L00648,P0028,2025-09-15,5,0,0,0,12.0
L01749,P0111,2025-09-15,1,1,1,1,12.0
L01749,P0002,2025-09-15,2,1,1,1,8.0
L01749,P0094,2025-09-15,3,0,0,0,12.0
L01749,P0008,2025-09-15,4,1,0,0,12.0
L01749,P0131,2025-09-15,5,0,0,0,15.0
L00750,P0086,2025-09-15,1,1,1,0,12.0
L00750,P0054,2025-09-15,2,0,0,0,15.0
L00750,P0136,2025-09-15,3,0,0,0,8.0
L00750,P0124,2025-09-15,4,0,0,0,8.0
L00750,P0138,2025-09-15,5,0,0,0,15.0
L02088,P0213,2025-09-15,1,1,1,0,10.0
L02088,P0145,2025-09-15,2,1,0,0,12.0
L02088,P0035,2025-09-15,3,0,0,0,12.0
L02088,P0172,2025-09-15,4,1,1,0,10.0
L02088,P0031,2025-09-15,5,1,1,1,10.0
L00881,P0174,2025-09-16,1,0,0,0,12.0
L00881,P0200,2025-09-16,2,1,0,0,8.0
L00881,P0206,2025-09-16,3,0,0,0,12.0
L00881,P0033,2025-09-16,4,0,0,0,15.0
L00881,P0198,2025-09-16,5,0,0,0,12.0
L00643,P0207,2025-09-16,1,0,0,0,15.0
L00643,P0047,2025-09-16,2,1,0,0,15.0
L00643,P0209,2025-09-16,3,0,0,0,15.0
L00643,P0112,2025-09-16,4,0,0,0,15.0
L00643,P0195,2025-09-16,5,0,0,0,10.0
L02492,P0160,2025-09-17,1,1,1,1,12.0
L02492,P0158,2025-09-17,2,0,0,0,12.0
L02492,P0053,2025-09-17,3,0,0,0,8.0
L02492,P0078,2025-09-17,4,0,0,0,10.0
L02492,P0021,2025-09-17,5,0,0,0,8.0
L00609,P0186,2025-09-17,1,1,1,0,10.0
L00609,P0124,2025-09-17,2,0,0,0,8.0
L00609,P0025,2025-09-17,3,1,0,0,8.0
L00609,P0061,2025-09-17,4,0,0,0,10.0
L00609,P0032,2025-09-17,5,0,0,0,8.0
L00227,P0151,2025-09-17,1,1,1,0,10.0
L00227,P0101,2025-09-17,2,1,0,0,12.0
L00227,P0088,2025-09-17,3,0,0,0,12.0
L00227,P0021,2025-09-17,4,1,0,0,8.0
L00227,P0051,2025-09-17,5,1,0,0,15.0
L01143,P0185,2025-09-17,1,0,0,0,12.0
L01143,P0135,2025-09-17,2,1,0,0,8.0
L01143,P0065,2025-09-17,3,1,1,0,12.0
L01143,P0019,2025-09-17,4,0,0,0,10.0
L01143,P0035,2025-09-17,5,1,1,0,15.0
L01700,P0062,2025-09-17,1,0,0,0,8.0
L01700,P0181,2025-09-17,2,1,1,1,12.0
L01700,P0070,2025-09-17,3,1,1,0,12.0
L01700,P0106,2025-09-17,4,1,1,1,10.0
L01700,P0029,2025-09-17,5,0,0,0,10.0
L00847,P0103,2025-09-17,1,0,0,0,10.0
L00847,P0205,2025-09-17,2,1,1,0,15.0
L00847,P0128,2025-09-17,3,1,0,0,15.0
L00847,P0147,2025-09-17,4,0,0,0,12.0
L00847,P0056,2025-09-17,5,0,0,0,10.0
L02752,P0122,2025-09-17,1,1,1,1,10.0
L02752,P0016,2025-09-17,2,1,1,1,8.0
L02752,P0134,2025-09-17,3,1,1,1,10.0
L02752,P0195,2025-09-17,4,1,0,0,8.0
L02752,P0188,2025-09-17,5,0,0,0,15.0
L00380,P0068,2025-09-18,1,1,1,0,10.0
L00380,P0029,2025-09-18,2,0,0,0,15.0
L00380,P0062,2025-09-18,3,0,0,0,15.0
L00380,P0148,2025-09-18,4,1,1,0,10.0
L00380,P0153,2025-09-18,5,0,0,0,12.0
L02864,P0208,2025-09-18,1,0,0,0,8.0
L02864,P0116,2025-09-18,2,1,1,0,8.0
L02864,P0017,2025-09-18,3,0,0,0,8.0
L02864,P0020,2025-09-18,4,0,0,0,12.0
L02864,P0011,2025-09-18,5,1,1,1,8.0
L01980,P0134,2025-09-18,1,0,0,0,15.0
L01980,P0159,2025-09-18,2,0,0,0,12.0
L01980,P0016,2025-09-18,3,1,0,0,10.0
L01980,P0188,2025-09-18,4,0,0,0,12.0
L01980,P0195,2025-09-18,5,1,1,0,15.0
L01515,P0206,2025-09-18,1,0,0,0,15.0
L01515,P0077,2025-09-18,2,0,0,0,10.0
L01515,P0200,2025-09-18,3,1,0,0,15.0
L01515,P0027,2025-09-18,4,0,0,0,8.0
L01515,P0033,2025-09-18,5,1,1,0,12.0
L01827,P0209,2025-09-18,1,0,0,0,10.0
L01827,P0112,2025-09-18,2,1,0,0,8.0
L01827,P0180,2025-09-18,3,0,0,0,15.0
L01827,P0219,2025-09-18,4,0,0,0,8.0
L01827,P0207,2025-09-18,5,0,0,0,15.0
L02863,P0163,2025-09-18,1,1,1,0,10.0
L02863,P0161,2025-09-18,2,1,1,1,8.0
L02863,P0065,2025-09-18,3,0,0,0,8.0
L02863,P0035,2025-09-18,4,1,1,0,8.0
L02863,P0019,2025-09-18,5,0,0,0,8.0
L00500,P0206,2025-09-18,1,1,0,0,10.0
L00500,P0198,2025-09-18,2,0,0,0,8.0
L00500,P0072,2025-09-18,3,0,0,0,10.0
L00500,P0027,2025-09-18,4,1,1,1,15.0
L00500,P0033,2025-09-18,5,0,0,0,12.0
L02984,P0172,2025-09-18,1,1,1,1,10.0
L02984,P0035,2025-09-18,2,0,0,0,15.0
L02984,P0118,2025-09-18,3,1,1,0,12.0
L02984,P0213,2025-09-18,4,1,1,1,8.0
L02984,P0145,2025-09-18,5,0,0,0,10.0
L02015,P0116,2025-09-19,1,1,1,0,15.0
L02015,P0044,2025-09-19,2,0,0,0,12.0
L02015,P0147,2025-09-19,3,0,0,0,12.0
L02015,P0056,2025-09-19,4,1,1,0,10.0
L02015,P0081,2025-09-19,5,1,0,0,12.0
L02343,P0087,2025-09-19,1,1,1,0,10.0
L02343,P0154,2025-09-19,2,0,0,0,12.0
L02343,P0021,2025-09-19,3,0,0,0,10.0
L02343,P0051,2025-09-19,4,0,0,0,12.0
L02343,P0078,2025-09-19,5,0,0,0,12.0
L02168,P0062,2025-09-19,1,1,1,0,10.0
L02168,P0181,2025-09-19,2,1,1,0,10.0
L02168,P0070,2025-09-19,3,1,1,0,12.0
L02168,P0029,2025-09-19,4,0,0,0,10.0
L02168,P0175,2025-09-19,5,0,0,0,15.0
L00250,P0004,2025-09-19,1,1,0,0,10.0
L00250,P0054,2025-09-19,2,0,0,0,15.0
L00250,P0086,2025-09-19,3,0,0,0,15.0
L00250,P0124,2025-09-19,4,0,0,0,10.0
L00250,P0138,2025-09-19,5,0,0,0,15.0
L01999,P0008,2025-09-19,1,0,0,0,8.0
L01999,P0002,2025-09-19,2,1,1,0,12.0
L01999,P0111,2025-09-19,3,1,1,0,12.0
L01999,P0140,2025-09-19,4,1,1,1,8.0
L01999,P0094,2025-09-19,5,1,0,0,12.0
L02648,P0007,2025-09-19,1,0,0,0,15.0
L02648,P0138,2025-09-19,2,1,1,0,10.0
L02648,P0006,2025-09-19,3,0,0,0,8.0
L02648,P0081,2025-09-19,4,1,0,0,10.0
L02648,P0086,2025-09-19,5,0,0,0,15.0
L01496,P0188,2025-09-19,1,1,1,0,15.0
L01496,P0117,2025-09-19,2,0,0,0,8.0
L01496,P0109,2025-09-19,3,0,0,0,8.0
L01496,P0075,2025-09-19,4,0,0,0,15.0
L01496,P0016,2025-09-19,5,0,0,0,15.0
L01097,P0012,2025-09-19,1,0,0,0,8.0
L01097,P0107,2025-09-19,2,1,0,0,12.0
L01097,P0113,2025-09-19,3,0,0,0,15.0
L01097,P0072,2025-09-19,4,0,0,0,15.0
L01097,P0198,2025-09-19,5,0,0,0,8.0
L02420,P0089,2025-09-20,1,1,1,1,12.0
L02420,P0030,2025-09-20,2,0,0,0,15.0
L02420,P0077,2025-09-20,3,0,0,0,15.0
L02420,P0071,2025-09-20,4,0,0,0,8.0
L02420,P0200,2025-09-20,5,1,1,1,12.0
L01059,P0116,2025-09-20,1,1,1,0,8.0
L01059,P0044,2025-09-20,2,0,0,0,8.0
L01059,P0056,2025-09-20,3,1,1,1,15.0
L01059,P0020,2025-09-20,4,1,1,1,10.0
L01059,P0086,2025-09-20,5,1,1,0,10.0
L02666,P0029,2025-09-20,1,1,0,0,8.0
L02666,P0062,2025-09-20,2,0,0,0,15.0
L02666,P0049,2025-09-20,3,1,1,0,10.0
L02666,P0110,2025-09-20,4,0,0,0,15.0
L02666,P0043,2025-09-20,5,0,0,0,10.0
L02882,P0137,2025-09-20,1,0,0,0,8.0
L02882,P0213,2025-09-20,2,0,0,0,8.0
L02882,P0145,2025-09-20,3,1,1,0,12.0
L02882,P0035,2025-09-20,4,1,1,0,8.0
L02882,P0046,2025-09-20,5,0,0,0,10.0
L01229,P0187,2025-09-20,1,1,1,0,10.0
L01229,P0215,2025-09-20,2,1,1,0,15.0
L01229,P0026,2025-09-20,3,0,0,0,12.0
L01229,P0123,2025-09-20,4,0,0,0,12.0
L01229,P0057,2025-09-20,5,0,0,0,8.0
L00693,P0091,2025-09-20,1,0,0,0,10.0
L00693,P0037,2025-09-20,2,0,0,0,10.0
L00693,P0057,2025-09-20,3,0,0,0,12.0
L00693,P0156,2025-09-20,4,0,0,0,12.0
L00693,P0119,2025-09-20,5,1,1,0,8.0
L01207,P0037,2025-09-21,1,1,1,0,12.0
L01207,P0203,2025-09-21,2,1,1,1,10.0
L01207,P0084,2025-09-21,3,1,0,0,15.0
L01207,P0059,2025-09-21,4,1,1,0,15.0
L01207,P0129,2025-09-21,5,1,0,0,12.0
L01104,P0193,2025-09-21,1,1,1,1,12.0
L01104,P0140,2025-09-21,2,0,0,0,8.0
L01104,P0111,2025-09-21,3,0,0,0,8.0
L01104,P0020,2025-09-21,4,0,0,0,8.0
L01104,P0028,2025-09-21,5,0,0,0,8.0
L02800,P0139,2025-09-21,1,0,0,0,15.0
L02800,P0050,2025-09-21,2,0,0,0,10.0
L02800,P0186,2025-09-21,3,0,0,0,12.0
L02800,P0138,2025-09-21,4,0,0,0,10.0
L02800,P0004,2025-09-21,5,1,1,0,12.0
L00963,P0140,2025-09-21,1,1,0,0,8.0
L00963,P0193,2025-09-21,2,0,0,0,15.0
L00963,P0028,2025-09-21,3,0,0,0,10.0
L00963,P0020,2025-09-21,4,0,0,0,10.0
L00963,P0008,2025-09-21,5,0,0,0,12.0
L02647,P0131,2025-09-22,1,0,0,0,10.0
L02647,P0008,2025-09-22,2,0,0,0,8.0
L02647,P0094,2025-09-22,3,1,1,1,12.0
L02647,P0111,2025-09-22,4,1,0,0,8.0
L02647,P0158,2025-09-22,5,0,0,0,10.0
L00939,P0050,2025-09-22,1,1,1,0,10.0
L00939,P0124,2025-09-22,2,1,0,0,15.0
L00939,P0032,2025-09-22,3,0,0,0,8.0
L00939,P0061,2025-09-22,4,1,1,0,10.0
L00939,P0100,2025-09-22,5,0,0,0,8.0
L02400,P0030,2025-09-22,1,0,0,0,8.0
L02400,P0057,2025-09-22,2,0,0,0,10.0
L02400,P0129,2025-09-22,3,0,0,0,15.0
L02400,P0119,2025-09-22,4,1,1,1,15.0
L02400,P0174,2025-09-22,5,1,1,1,15.0
L02992,P0165,2025-09-22,1,0,0,0,8.0
L02992,P0024,2025-09-22,2,0,0,0,8.0
L02992,P0015,2025-09-22,3,0,0,0,15.0
L02992,P0069,2025-09-22,4,0,0,0,8.0
L02992,P0091,2025-09-22,5,1,1,1,15.0
L00730,P0032,2025-09-22,1,0,0,0,15.0
L00730,P0192,2025-09-22,2,1,1,0,15.0
L00730,P0124,2025-09-22,3,0,0,0,8.0
L00730,P0186,2025-09-22,4,1,0,0,12.0
L00730,P0138,2025-09-22,5,0,0,0,12.0
L02930,P0207,2025-09-22,1,1,1,0,12.0
L02930,P0047,2025-09-22,2,0,0,0,12.0
L02930,P0209,2025-09-22,3,0,0,0,15.0
L02930,P0195,2025-09-22,4,0,0,0,10.0
L02930,P0112,2025-09-22,5,0,0,0,8.0
L00233,P0144,2025-09-22,1,1,1,0,15.0
L00233,P0154,2025-09-22,2,0,0,0,8.0
L00233,P0087,2025-09-22,3,0,0,0,12.0
L00233,P0017,2025-09-22,4,1,1,0,12.0
L00233,P0021,2025-09-22,5,1,1,0,8.0
L01586,P0206,2025-09-22,1,1,1,1,15.0
L01586,P0071,2025-09-22,2,0,0,0,8.0
L01586,P0027,2025-09-22,3,0,0,0,8.0
L01586,P0198,2025-09-22,4,1,1,0,12.0
L01586,P0072,2025-09-22,5,1,0,0,12.0
L01920,P0030,2025-09-22,1,0,0,0,10.0
L01920,P0089,2025-09-22,2,0,0,0,12.0
L01920,P0071,2025-09-22,3,1,0,0,12.0
L01920,P0174,2025-09-22,4,0,0,0,10.0
L01920,P0077,2025-09-22,5,1,1,0,8.0
L00596,P0103,2025-09-22,1,0,0,0,10.0
L00596,P0196,2025-09-22,2,1,1,1,15.0
L00596,P0081,2025-09-22,3,1,0,0,8.0
L00596,P0116,2025-09-22,4,1,1,1,10.0
L00596,P0147,2025-09-22,5,0,0,0,15.0
L02141,P0209,2025-09-22,1,1,1,0,10.0
L02141,P0047,2025-09-22,2,1,1,0,8.0
L02141,P0010,2025-09-22,3,1,1,1,10.0
L02141,P0180,2025-09-22,4,0,0,0,10.0
L02141,P0219,2025-09-22,5,0,0,0,8.0
L01823,P0158,2025-09-22,1,0,0,0,8.0
L01823,P0041,2025-09-22,2,0,0,0,15.0
L01823,P0111,2025-09-22,3,0,0,0,15.0
L01823,P0020,2025-09-22,4,1,1,1,15.0
L01823,P0008,2025-09-22,5,0,0,0,12.0
L01854,P0192,2025-09-22,1,0,0,0,10.0
L01854,P0183,2025-09-22,2,1,0,0,10.0
L01854,P0199,2025-09-22,3,1,1,0,10.0
L01854,P0124,2025-09-22,4,1,0,0,12.0
L01854,P0081,2025-09-22,5,0,0,0,15.0
L01821,P0182,2025-09-23,1,1,1,0,8.0
L01821,P0162,2025-09-23,2,1,1,0,10.0
L01821,P0013,2025-09-23,3,0,0,0,12.0
L01821,P0121,2025-09-23,4,1,1,0,15.0
L01821,P0217,2025-09-23,5,1,1,0,10.0
L01178,P0136,2025-09-23,1,1,1,1,15.0
L01178,P0054,2025-09-23,2,1,1,1,12.0
L01178,P0004,2025-09-23,3,1,1,0,8.0
L01178,P0205,2025-09-23,4,1,1,0,8.0
L01178,P0138,2025-09-23,5,1,1,0,12.0
L02597,P0121,2025-09-23,1,0,0,0,15.0
L02597,P0190,2025-09-23,2,0,0,0,15.0
L02597,P0013,2025-09-23,3,0,0,0,8.0
L02597,P0132,2025-09-23,4,1,0,0,12.0
L02597,P0162,2025-09-23,5,1,0,0,12.0
L02144,P0069,2025-09-23,1,1,1,1,15.0
L02144,P0165,2025-09-23,2,1,0,0,8.0
L02144,P0024,2025-09-23,3,1,0,0,8.0
L02144,P0155,2025-09-23,4,1,1,0,15.0
L02144,P0030,2025-09-23,5,0,0,0,12.0
L00675,P0119,2025-09-24,1,0,0,0,15.0
L00675,P0026,2025-09-24,2,1,1,1,10.0
L00675,P0001,2025-09-24,3,0,0,0,10.0
L00675,P0123,2025-09-24,4,1,1,0,10.0
L00675,P0003,2025-09-24,5,0,0,0,8.0
L01027,P0128,2025-09-24,1,1,1,1,12.0
L01027,P0205,2025-09-24,2,1,1,1,10.0
L01027,P0081,2025-09-24,3,1,1,1,15.0
L01027,P0116,2025-09-24,4,0,0,0,15.0
L01027,P0044,2025-09-24,5,0,0,0,10.0
L02402,P0093,2025-09-24,1,1,0,0,15.0
L02402,P0090,2025-09-24,2,1,0,0,15.0
L02402,P0138,2025-09-24,3,1,1,0,8.0
L02402,P0124,2025-09-24,4,0,0,0,15.0
L02402,P0081,2025-09-24,5,1,1,1,8.0
L01732,P0213,2025-09-24,1,0,0,0,15.0
L01732,P0079,2025-09-24,2,0,0,0,8.0
L01732,P0073,2025-09-24,3,0,0,0,8.0
L01732,P0172,2025-09-24,4,0,0,0,15.0
L01732,P0031,2025-09-24,5,1,1,0,12.0
L01936,P0202,2025-09-25,1,0,0,0,15.0
L01936,P0073,2025-09-25,2,1,1,1,12.0
L01936,P0213,2025-09-25,3,1,1,0,8.0
L01936,P0145,2025-09-25,4,1,1,1,8.0
L01936,P0031,2025-09-25,5,1,1,1,8.0
L00230,P0197,2025-09-25,1,0,0,0,12.0
L00230,P0214,2025-09-25,2,0,0,0,12.0
L00230,P0201,2025-09-25,3,1,0,0,8.0
L00230,P0019,2025-09-25,4,0,0,0,10.0
L00230,P0173,2025-09-25,5,0,0,0,15.0
L01587,P0179,2025-09-26,1,1,1,0,8.0
L01587,P0125,2025-09-26,2,1,1,1,8.0
L01587,P0076,2025-09-26,3,1,0,0,8.0
L01587,P0020,2025-09-26,4,1,1,0,8.0
L01587,P0011,2025-09-26,5,0,0,0,15.0
L02811,P0104,2025-09-26,1,0,0,0,10.0
L02811,P0058,2025-09-26,2,0,0,0,12.0
L02811,P0120,2025-09-26,3,1,1,0,12.0
L02811,P0061,2025-09-26,4,0,0,0,8.0
L02811,P0100,2025-09-26,5,0,0,0,12.0
L01598,P0197,2025-09-26,1,1,1,1,15.0
L01598,P0171,2025-09-26,2,1,1,0,15.0
L01598,P0214,2025-09-26,3,1,1,0,15.0
L01598,P0058,2025-09-26,4,1,1,0,8.0
L01598,P0104,2025-09-26,5,0,0,0,12.0
L02490,P0153,2025-09-26,1,1,1,0,10.0
L02490,P0000,2025-09-26,2,1,1,0,8.0
L02490,P0181,2025-09-26,3,0,0,0,10.0
L02490,P0062,2025-09-26,4,1,1,0,12.0
L02490,P0029,2025-09-26,5,0,0,0,15.0
L01835,P0181,2025-09-26,1,1,1,0,8.0
L01835,P0153,2025-09-26,2,1,1,0,8.0
L01835,P0062,2025-09-26,3,0,0,0,8.0
L01835,P0000,2025-09-26,4,1,0,0,15.0
L01835,P0029,2025-09-26,5,0,0,0,15.0
L00095,P0155,2025-09-26,1,1,1,1,8.0
L00095,P0091,2025-09-26,2,1,0,0,12.0
L00095,P0084,2025-09-26,3,1,1,1,15.0
L00095,P0015,2025-09-26,4,0,0,0,8.0
L00095,P0165,2025-09-26,5,0,0,0,15.0
L02897,P0023,2025-09-26,1,0,0,0,8.0
L02897,P0020,2025-09-26,2,1,1,1,12.0
L02897,P0053,2025-09-26,3,1,1,1,10.0
L02897,P0076,2025-09-26,4,0,0,0,15.0
L02897,P0087,2025-09-26,5,0,0,0,8.0
L01638,P0170,2025-09-26,1,0,0,0,15.0
L01638,P0125,2025-09-26,2,1,1,1,15.0
L01638,P0179,2025-09-26,3,1,1,0,8.0
L01638,P0022,2025-09-26,4,0,0,0,12.0
L01638,P0020,2025-09-26,5,1,1,0,10.0
L01183,P0115,2025-09-26,1,1,0,0,8.0
L01183,P0020,2025-09-26,2,0,0,0,15.0
L01183,P0149,2025-09-26,3,1,0,0,10.0
L01183,P0014,2025-09-26,4,0,0,0,10.0
L01183,P0066,2025-09-26,5,1,0,0,12.0
L00985,P0019,2025-09-26,1,1,1,0,10.0
L00985,P0148,2025-09-26,2,0,0,0,8.0
L00985,P0189,2025-09-26,3,1,1,0,10.0
L00985,P0093,2025-09-26,4,0,0,0,8.0
L00985,P0007,2025-09-26,5,0,0,0,12.0
L00117,P0017,2025-09-26,1,0,0,0,10.0
L00117,P0087,2025-09-26,2,1,1,0,8.0
L00117,P0158,2025-09-26,3,0,0,0,8.0
L00117,P0051,2025-09-26,4,0,0,0,12.0
L00117,P0021,2025-09-26,5,0,0,0,15.0
L01140,P0112,2025-09-27,1,0,0,0,12.0
L01140,P0209,2025-09-27,2,1,1,0,15.0
L01140,P0180,2025-09-27,3,0,0,0,10.0
L01140,P0005,2025-09-27,4,0,0,0,15.0
L01140,P0207,2025-09-27,5,0,0,0,12.0
L01997,P0187,2025-09-27,1,1,1,1,12.0
L01997,P0119,2025-09-27,2,1,1,0,15.0
L01997,P0001,2025-09-27,3,1,0,0,12.0
L01997,P0215,2025-09-27,4,1,1,0,8.0
L01997,P0030,2025-09-27,5,1,0,0,15.0
L02430,P0154,2025-09-27,1,0,0,0,12.0
L02430,P0160,2025-09-27,2,1,0,0,8.0
L02430,P0053,2025-09-27,3,1,1,1,8.0
L02430,P0087,2025-09-27,4,0,0,0,12.0
L02430,P0051,2025-09-27,5,0,0,0,12.0
L00076,P0160,2025-09-27,1,1,1,0,10.0
L00076,P0144,2025-09-27,2,0,0,0,15.0
L00076,P0053,2025-09-27,3,1,1,0,15.0
L00076,P0087,2025-09-27,4,0,0,0,15.0
L00076,P0021,2025-09-27,5,0,0,0,10.0
L02150,P0118,2025-09-27,1,1,1,0,10.0
L02150,P0168,2025-09-27,2,1,1,0,8.0
L02150,P0046,2025-09-27,3,1,1,0,8.0
L02150,P0130,2025-09-27,4,0,0,0,15.0
L02150,P0095,2025-09-27,5,1,1,0,8.0
L02500,P0121,2025-09-27,1,1,1,0,15.0
L02500,P0080,2025-09-27,2,0,0,0,12.0
L02500,P0217,2025-09-27,3,1,0,0,12.0
L02500,P0162,2025-09-27,4,0,0,0,12.0
L02500,P0098,2025-09-27,5,1,0,0,10.0
L01409,P0003,2025-09-27,1,1,1,0,15.0
L01409,P0123,2025-09-27,2,0,0,0,15.0
L01409,P0026,2025-09-27,3,1,1,0,12.0
L01409,P0001,2025-09-27,4,0,0,0,15.0
L01409,P0030,2025-09-27,5,1,1,0,8.0
