lead_id,created_at,zone,job_type,weekday_day,weekday_eve,weekend,budget_max,urgency,hours_wanted,pref_gender,language,is_returning,source
L01872,2025-09-22,Z08,install,0,1,0,33.0,deadline,30,any,en,0,organic
L00454,2025-09-22,Z10,repair,0,0,0,45.0,deadline,30,any,tr,0,paid_search
L00817,2025-09-22,Z24,install,0,1,1,38.0,none,10,any,en,0,organic
L02286,2025-09-22,Z27,repair,0,1,0,36.0,none,30,any,ur,0,organic
L02144,2025-09-22,Z19,repair,0,0,0,41.0,none,10,any,ro,0,paid_search
L00435,2025-09-22,Z16,repair,1,0,0,38.0,emergency,20,F,tr,0,referral
L01015,2025-09-23,UNKNOWN,repair,0,1,0,42.0,deadline,30,any,en,0,paid_search
L02402,2025-09-23,Z02,repair,1,1,1,32.0,none,30,any,en,0,organic
L00836,2025-09-23,Z11,repair,1,0,1,41.0,none,40,any,en,0,organic
L01158,2025-09-23,Z04,install,0,0,0,40.0,none,10,any,ur,0,organic
L00126,2025-09-23,Z04,repair,0,1,1,57.0,deadline,40,any,en,1,paid_search
L00769,2025-09-24,Z19,install,1,0,0,46.0,none,10,F,tr,0,organic
L02311,2025-09-24,Z19,repair,0,1,0,34.0,none,10,any,pl,0,organic
L01509,2025-09-24,UNKNOWN,install,0,1,1,39.0,deadline,10,any,en,0,organic
L02662,2025-09-24,Z06,repair,1,0,0,37.0,none,20,any,ro,0,paid_search
L02448,2025-09-24,Z06,repair,0,0,0,33.0,none,30,F,en,0,referral
L02379,2025-09-24,Z17,install,0,0,1,36.0,none,30,any,en,0,organic
L02030,2025-09-24,Z24,repair,0,0,1,46.0,deadline,10,any,en,0,organic
L00324,2025-09-24,UNKNOWN,repair,1,1,1,25.0,none,20,any,ur,0,paid_search
L01816,2025-09-24,Z10,install,0,1,0,39.0,none,30,F,en,0,organic
L01716,2025-09-24,Z09,install,0,0,0,36.0,none,30,any,en,0,organic
L00330,2025-09-24,Z06,install,0,1,1,35.0,deadline,30,any,en,0,paid_search
L01145,2025-09-24,Z23,install,0,1,1,23.0,emergency,10,F,tr,0,organic
L00915,2025-09-25,Z10,install,0,1,1,42.0,none,30,any,ro,0,organic
L00079,2025-09-25,Z28,install,0,0,0,43.0,none,20,any,en,0,paid_search
L02460,2025-09-25,Z14,repair,0,0,1,41.0,none,20,any,ur,0,referral
L00100,2025-09-25,Z16,repair,0,1,1,41.0,none,30,F,en,0,paid_search
L02573,2025-09-25,Z29,install,1,1,0,42.0,none,20,any,ur,0,paid_search
L01239,2025-09-25,Z07,repair,0,1,0,38.0,deadline,20,any,en,0,organic
L02739,2025-09-25,Z21,install,1,1,1,44.0,none,10,any,en,0,paid_search
L01953,2025-09-26,UNKNOWN,repair,0,0,1,30.0,deadline,20,any,ro,0,organic
L02004,2025-09-26,Z28,repair,0,1,1,39.0,deadline,20,any,en,0,referral
L00760,2025-09-26,Z21,install,0,0,0,34.0,deadline,10,any,tr,0,organic
L01017,2025-09-27,Z19,install,1,1,0,35.0,deadline,30,any,en,1,organic
L00017,2025-09-27,Z27,repair,0,1,1,46.0,deadline,40,any,pl,0,paid_search
L00952,2025-09-27,Z12,install,0,0,0,38.0,none,20,any,ro,0,paid_search
L00175,2025-09-27,Z28,repair,1,1,1,36.0,none,20,any,pl,0,paid_search
L01589,2025-09-27,Z27,install,0,1,0,26.0,deadline,30,any,tr,0,referral
L00150,2025-09-27,Z24,install,0,1,1,38.0,none,10,any,en,0,paid_search
L02427,2025-09-28,Z23,install,0,1,0,39.0,none,30,any,tr,0,paid_search
L01901,2025-09-28,Z20,repair,1,1,0,40.0,deadline,30,any,en,0,referral
L02026,2025-09-28,Z22,install,1,0,1,34.0,none,20,any,ro,0,paid_search
L01506,2025-09-28,Z13,repair,1,1,0,37.0,none,30,F,pl,0,organic
L01698,2025-09-28,Z07,repair,1,1,0,48.0,none,30,any,ur,1,paid_search
L01262,2025-09-28,Z19,repair,0,1,0,36.0,none,10,any,ro,0,organic
L00152,2025-09-29,Z08,install,0,1,0,33.0,none,20,any,pl,0,paid_search
L02212,2025-09-29,Z07,install,1,1,0,43.0,deadline,30,any,en,1,organic
L00525,2025-09-29,Z19,repair,0,1,0,44.0,none,10,any,ur,0,organic
L01892,2025-09-29,Z04,install,0,0,1,39.0,emergency,30,any,en,0,organic
L00754,2025-09-29,Z14,install,0,1,0,,none,40,any,en,0,paid_search
L00740,2025-09-29,Z20,install,0,1,1,36.0,none,20,F,en,1,organic
L00307,2025-09-29,Z11,repair,0,0,0,38.0,none,20,any,en,0,organic
L02360,2025-09-29,Z26,install,1,1,0,33.0,none,20,any,ur,0,organic
L01429,2025-09-29,Z26,install,0,1,0,42.0,none,10,any,en,0,paid_search
L00705,2025-09-29,Z20,repair,0,1,0,38.0,deadline,10,F,tr,1,paid_search
L01708,2025-09-30,Z16,install,1,0,0,39.0,none,20,any,en,0,organic
L01256,2025-09-30,Z03,install,1,1,1,35.0,deadline,20,any,en,0,paid_search
L00839,2025-09-30,Z09,install,0,1,1,46.0,deadline,10,any,pl,0,paid_search
L02962,2025-09-30,Z28,install,0,1,0,28.0,deadline,10,any,en,0,organic
L00893,2025-09-30,Z02,repair,1,1,0,33.0,none,20,any,ro,0,paid_search
L02111,2025-09-30,Z14,repair,0,0,1,43.0,none,30,any,ur,0,paid_search
L00706,2025-09-30,Z28,install,0,1,0,30.0,none,10,any,pl,0,paid_search
L01740,2025-09-30,Z30,install,1,1,0,44.0,deadline,20,any,pl,0,organic
L00906,2025-09-30,Z05,repair,1,0,0,46.0,none,20,any,tr,0,paid_search
L00391,2025-09-30,Z08,repair,1,0,1,,none,40,any,en,0,paid_search
L02491,2025-09-30,Z16,repair,1,1,1,37.0,deadline,30,any,pl,0,paid_search
L01200,2025-09-30,Z19,repair,0,1,1,37.0,deadline,10,F,en,0,paid_search
L01257,2025-09-30,Z11,repair,0,1,1,29.0,none,30,any,en,0,paid_search
L00750,2025-10-01,Z16,repair,0,1,0,47.0,deadline,40,any,en,0,referral
L01258,2025-10-01,Z10,repair,1,1,0,41.0,deadline,20,any,pl,1,paid_search
L01504,2025-10-01,Z11,repair,0,1,1,33.0,emergency,20,any,ro,1,paid_search
L02529,2025-10-01,Z03,repair,1,0,0,41.0,none,10,any,en,0,paid_search
L01922,2025-10-01,Z26,repair,0,1,1,35.0,emergency,10,any,tr,1,paid_search
L01820,2025-10-01,Z13,install,0,1,0,38.0,none,30,any,tr,0,organic
L00958,2025-10-01,Z24,install,1,1,1,40.0,none,30,any,en,0,paid_search
L02507,2025-10-01,Z07,install,0,1,0,31.0,none,20,any,en,0,paid_search
L00593,2025-10-01,Z06,install,1,0,1,31.0,none,30,any,tr,0,paid_search
L00181,2025-10-01,Z22,repair,1,1,1,34.0,none,10,any,en,0,paid_search
L00338,2025-10-02,Z27,repair,1,1,0,32.0,none,20,any,ur,0,referral
L00543,2025-10-02,Z30,install,0,0,0,43.0,none,20,any,ro,0,paid_search
L00457,2025-10-02,UNKNOWN,repair,1,1,0,38.0,none,30,any,en,0,paid_search
L02875,2025-10-02,Z08,repair,1,1,0,43.0,emergency,20,any,en,0,referral
L00656,2025-10-02,Z13,repair,1,0,0,42.0,deadline,20,any,ur,0,organic
L01179,2025-10-02,Z25,repair,0,1,0,39.0,deadline,10,any,en,0,paid_search
L01285,2025-10-02,Z26,repair,1,1,1,36.0,none,30,any,en,0,organic
L00600,2025-10-02,Z18,install,0,1,1,44.0,deadline,10,any,pl,0,organic
L02173,2025-10-02,Z16,repair,0,0,1,36.0,deadline,40,any,ur,0,paid_search
L01640,2025-10-02,Z19,repair,0,1,1,,none,10,any,en,0,paid_search
L01677,2025-10-02,Z24,install,0,0,1,50.0,none,10,any,ur,0,paid_search
L02318,2025-10-02,Z20,repair,0,1,0,32.0,none,10,any,pl,0,organic
L01879,2025-10-03,Z27,repair,0,1,0,42.0,deadline,30,any,en,0,organic
L02895,2025-10-03,Z06,repair,1,0,1,42.0,none,10,F,ur,0,paid_search
L02494,2025-10-03,Z10,install,1,1,1,36.0,none,20,any,en,0,paid_search
L02986,2025-10-03,Z12,repair,1,0,1,40.0,deadline,30,any,en,0,paid_search
L00320,2025-10-03,Z11,repair,0,1,0,42.0,none,10,any,pl,0,organic
L02180,2025-10-04,Z12,install,1,0,1,42.0,none,10,any,en,0,paid_search
L00265,2025-10-04,Z11,repair,1,0,0,38.0,none,20,any,ro,0,paid_search
L00198,2025-10-04,Z16,repair,1,1,1,49.0,none,10,any,ur,0,organic
L02164,2025-10-04,Z08,install,1,0,0,39.0,none,30,F,ro,0,referral
L02003,2025-10-04,Z14,repair,1,0,1,41.0,emergency,20,any,en,0,paid_search
L01023,2025-10-04,Z18,repair,1,1,0,31.0,none,30,any,ro,1,referral
L02844,2025-10-04,Z16,install,1,1,1,35.0,deadline,20,any,ur,0,organic
L01321,2025-10-04,Z11,repair,0,1,1,38.0,none,40,any,en,0,organic
L00901,2025-10-05,Z01,repair,1,1,1,34.0,deadline,30,any,ur,0,paid_search
L00071,2025-10-05,Z05,repair,1,1,0,36.0,none,20,any,pl,0,paid_search
L01789,2025-10-05,Z20,install,0,0,1,44.0,none,10,any,en,0,organic
L00806,2025-10-05,Z12,install,1,1,1,41.0,deadline,20,any,tr,0,paid_search
L02632,2025-10-05,Z27,repair,0,0,0,32.0,deadline,20,any,ro,0,paid_search
L00608,2025-10-06,Z28,install,1,1,0,36.0,none,20,any,pl,0,referral
L00801,2025-10-06,Z21,repair,0,0,1,40.0,emergency,40,any,en,0,referral
L00087,2025-10-06,Z04,repair,0,1,0,37.0,none,20,any,en,0,organic
L00212,2025-10-06,Z23,repair,0,0,1,,none,10,any,en,0,organic
L00878,2025-10-06,Z16,repair,1,1,1,35.0,deadline,30,any,en,0,paid_search
L00746,2025-10-06,Z25,install,1,1,1,39.0,deadline,20,F,ro,0,organic
L00971,2025-10-06,Z28,repair,1,0,0,40.0,deadline,20,any,pl,0,referral
L01986,2025-10-06,Z21,repair,1,1,0,46.0,none,10,any,pl,0,referral
L01151,2025-10-06,Z08,install,1,0,1,40.0,deadline,30,any,en,0,paid_search
L02592,2025-10-06,Z14,repair,1,1,0,40.0,none,20,any,en,0,referral
L00214,2025-10-07,Z12,repair,0,1,1,37.0,none,40,any,en,0,paid_search
L00710,2025-10-07,Z02,repair,0,1,0,36.0,deadline,10,any,ro,1,organic
L01610,2025-10-07,Z25,repair,1,1,1,35.0,none,10,any,en,0,paid_search
L02745,2025-10-07,Z27,install,1,1,1,38.0,none,30,F,ur,1,paid_search
L01487,2025-10-07,Z17,repair,1,1,0,43.0,none,40,any,ro,0,paid_search
L00240,2025-10-07,Z16,repair,1,1,0,43.0,none,10,any,tr,0,organic
L01348,2025-10-07,Z21,repair,0,1,0,32.0,none,30,any,ro,0,paid_search
L02834,2025-10-08,Z18,install,0,1,0,33.0,deadline,30,any,tr,0,organic
L01601,2025-10-08,Z15,repair,0,0,1,43.0,deadline,20,any,en,0,paid_search
L01536,2025-10-08,Z12,repair,0,0,1,28.0,deadline,10,any,en,0,paid_search
L00882,2025-10-08,Z10,repair,0,1,0,35.0,deadline,10,any,ro,0,paid_search
L01373,2025-10-08,Z30,install,1,1,0,27.0,none,20,any,en,0,paid_search
L00154,2025-10-08,Z24,repair,1,1,0,39.0,deadline,30,any,en,0,paid_search
L01199,2025-10-08,Z16,install,0,1,1,30.0,none,20,any,pl,0,organic
L01242,2025-10-08,Z15,install,0,0,0,35.0,deadline,20,any,en,0,paid_search
L00625,2025-10-08,UNKNOWN,install,1,0,0,34.0,none,20,F,pl,0,paid_search
L01918,2025-10-09,Z12,repair,0,0,0,33.0,none,20,any,tr,0,paid_search
L00655,2025-10-09,Z04,repair,0,1,1,,none,20,any,ur,0,organic
L02307,2025-10-09,Z24,repair,0,0,1,34.0,emergency,30,F,ur,0,organic
L00800,2025-10-09,Z30,repair,0,0,1,47.0,deadline,20,any,tr,0,paid_search
L01794,2025-10-09,Z26,install,1,1,0,47.0,none,10,any,en,0,paid_search
L01810,2025-10-09,Z25,install,0,0,1,36.0,none,20,any,tr,0,organic
L02999,2025-10-09,Z17,install,1,0,1,33.0,none,20,F,en,0,organic
L02579,2025-10-09,Z28,repair,1,1,1,45.0,none,10,any,tr,0,organic
L02700,2025-10-09,Z16,repair,0,1,1,43.0,deadline,20,any,en,0,paid_search
L00492,2025-10-10,Z12,install,1,1,1,35.0,none,10,any,ur,0,paid_search
L01482,2025-10-10,Z21,install,0,1,0,,emergency,30,any,pl,0,paid_search
L01408,2025-10-10,Z24,install,0,0,1,30.0,none,20,any,ur,0,paid_search
L01391,2025-10-10,Z14,install,1,1,1,36.0,deadline,20,any,tr,0,paid_search
L01550,2025-10-10,Z25,repair,0,0,1,41.0,none,30,any,pl,0,paid_search
L00905,2025-10-10,Z04,repair,0,0,0,27.0,none,20,any,tr,0,paid_search
L00488,2025-10-10,Z28,repair,1,0,1,44.0,deadline,10,any,en,0,paid_search
L00966,2025-10-10,Z01,repair,1,1,1,44.0,none,20,any,en,0,paid_search
L00101,2025-10-10,UNKNOWN,install,1,0,1,31.0,deadline,20,any,ro,0,paid_search
L00351,2025-10-10,Z29,install,0,1,1,34.0,none,10,any,tr,0,organic
L02217,2025-10-11,Z30,repair,0,1,0,38.0,none,10,any,en,0,organic
L02678,2025-10-11,Z28,install,0,1,1,44.0,deadline,30,any,ro,0,organic
L00590,2025-10-11,Z26,repair,0,1,1,36.0,none,20,any,en,1,paid_search
L02044,2025-10-11,Z05,repair,1,0,1,43.0,deadline,20,F,ur,0,paid_search
L00768,2025-10-11,Z16,repair,0,1,0,38.0,deadline,40,F,en,0,paid_search
L00833,2025-10-11,Z12,repair,0,0,0,40.0,deadline,20,any,ro,0,paid_search
L00995,2025-10-11,Z06,install,0,1,1,42.0,none,30,any,en,0,paid_search
L01176,2025-10-11,Z04,install,1,0,1,36.0,none,30,F,ro,0,organic
L00230,2025-10-11,Z24,repair,1,1,0,36.0,deadline,20,any,ro,0,organic
L02479,2025-10-12,Z13,repair,0,1,0,32.0,emergency,20,any,pl,0,paid_search
L02734,2025-10-12,Z03,repair,1,1,0,31.0,none,30,any,en,0,organic
L02513,2025-10-12,Z11,repair,0,1,1,45.0,deadline,10,any,en,0,organic
L01434,2025-10-12,Z20,install,0,0,0,35.0,emergency,20,any,en,1,paid_search
L01430,2025-10-12,Z11,repair,0,1,0,47.0,emergency,20,any,en,0,organic
L01709,2025-10-12,Z28,repair,0,0,0,38.0,none,10,any,ur,0,paid_search
L00657,2025-10-12,Z03,install,0,0,1,34.0,emergency,20,any,en,0,paid_search
L02743,2025-10-12,Z13,repair,0,0,1,38.0,deadline,20,any,en,1,paid_search
L00088,2025-10-12,Z28,repair,1,0,1,49.0,none,10,any,ur,0,paid_search
L01375,2025-10-13,Z16,repair,0,0,1,38.0,deadline,30,any,pl,0,organic
L00336,2025-10-13,Z05,repair,0,1,1,44.0,none,20,F,en,0,paid_search
L02324,2025-10-13,Z05,install,0,0,1,30.0,none,20,any,ur,0,paid_search
L00325,2025-10-13,Z01,install,0,1,1,28.0,emergency,20,any,en,1,organic
L02891,2025-10-13,Z02,repair,1,0,0,42.0,deadline,10,any,ro,0,organic
L00096,2025-10-13,Z03,install,1,1,1,36.0,deadline,10,any,ro,0,organic
L01959,2025-10-14,Z22,install,0,1,1,29.0,deadline,10,any,en,1,organic
L02274,2025-10-14,Z28,install,0,1,1,41.0,none,20,any,ro,0,organic
L02966,2025-10-14,Z25,repair,0,1,0,40.0,none,30,any,en,1,paid_search
L02010,2025-10-14,Z07,install,1,0,0,35.0,deadline,10,any,en,0,paid_search
L02613,2025-10-14,Z11,install,0,1,0,34.0,none,20,F,en,0,paid_search
L00972,2025-10-14,Z07,install,0,1,0,43.0,deadline,30,any,en,1,organic
L01875,2025-10-14,Z29,repair,1,1,1,44.0,deadline,10,any,en,0,paid_search
L01447,2025-10-14,Z06,repair,1,1,1,41.0,deadline,20,any,ur,0,paid_search
L00869,2025-10-14,Z17,repair,0,1,0,41.0,deadline,40,any,pl,0,paid_search
L02122,2025-10-14,Z10,repair,1,1,1,30.0,none,20,any,en,0,referral
L02636,2025-10-14,Z22,repair,1,0,1,31.0,emergency,20,any,en,0,paid_search
L01062,2025-10-14,Z29,install,1,0,0,42.0,deadline,20,any,pl,0,paid_search
L02375,2025-10-14,Z28,install,0,0,1,39.0,deadline,30,any,ro,0,paid_search
L00595,2025-10-14,Z24,repair,1,0,1,36.0,emergency,10,F,en,0,organic
L02759,2025-10-14,Z15,repair,1,1,0,25.0,none,40,any,en,0,paid_search
L02455,2025-10-14,Z08,repair,0,0,0,43.0,deadline,40,any,tr,0,paid_search
L01253,2025-10-15,Z15,repair,0,0,1,44.0,none,20,F,en,0,paid_search
L01117,2025-10-15,Z02,repair,0,1,1,36.0,none,20,any,ur,0,paid_search
L02907,2025-10-15,Z12,install,1,1,1,41.0,deadline,10,any,en,0,paid_search
L02800,2025-10-15,Z11,install,1,0,1,39.0,deadline,20,any,en,0,paid_search
L01969,2025-10-15,Z03,install,0,0,1,33.0,none,20,any,ur,0,paid_search
L00802,2025-10-15,Z06,install,1,0,1,34.0,emergency,10,any,en,0,paid_search
L01674,2025-10-15,Z21,install,0,0,0,23.0,none,30,any,ro,0,referral
L02666,2025-10-15,Z01,repair,0,1,0,33.0,none,20,any,tr,0,paid_search
L00299,2025-10-15,Z13,repair,1,1,1,39.0,none,10,any,en,0,organic
L01646,2025-10-15,Z03,install,0,0,0,40.0,none,20,any,ro,0,paid_search
L02500,2025-10-15,Z09,repair,1,0,0,39.0,deadline,30,any,en,0,paid_search
L02452,2025-10-15,Z18,repair,1,1,1,32.0,deadline,30,any,en,1,paid_search
L00612,2025-10-15,Z29,repair,1,0,0,37.0,deadline,10,any,tr,0,organic
L00569,2025-10-15,Z11,repair,1,1,0,36.0,deadline,10,F,en,0,paid_search
L01643,2025-10-15,Z10,repair,1,1,1,34.0,deadline,10,any,ur,0,organic
L01370,2025-10-15,Z06,repair,0,1,1,,deadline,40,F,en,0,paid_search
L02855,2025-10-15,Z23,install,0,1,1,41.0,none,20,any,en,0,organic
L02836,2025-10-15,Z20,repair,1,1,1,30.0,none,20,any,en,0,organic
L00865,2025-10-16,Z26,install,0,1,0,36.0,none,30,any,en,0,paid_search
L02438,2025-10-16,Z21,repair,0,0,1,34.0,none,30,any,ur,0,organic
L02960,2025-10-16,Z12,repair,1,0,0,30.0,none,30,any,en,0,paid_search
L02086,2025-10-16,Z14,install,1,1,1,45.0,emergency,30,any,en,0,organic
L00001,2025-10-16,Z24,install,0,0,1,37.0,none,10,any,en,0,organic
L02056,2025-10-16,Z12,repair,0,0,1,38.0,deadline,30,F,en,0,paid_search
L02329,2025-10-16,Z28,repair,0,1,1,44.0,none,30,any,ur,0,paid_search
L00389,2025-10-16,Z13,repair,0,0,0,32.0,none,10,any,en,0,organic
L00162,2025-10-16,Z13,install,1,0,1,43.0,deadline,20,any,en,0,paid_search
L01071,2025-10-16,Z08,repair,0,1,0,43.0,deadline,20,any,en,0,paid_search
L00024,2025-10-16,Z06,repair,0,1,0,28.0,none,10,any,en,0,paid_search
L01298,2025-10-16,Z06,install,0,0,0,40.0,emergency,40,any,pl,0,paid_search
L01295,2025-10-16,Z08,repair,0,0,0,37.0,none,30,any,en,0,paid_search
L01271,2025-10-16,Z11,repair,0,1,0,42.0,none,20,any,ur,0,paid_search
L02889,2025-10-16,Z01,install,1,1,1,44.0,deadline,10,any,pl,0,paid_search
L00955,2025-10-16,Z23,repair,1,1,1,44.0,none,30,any,en,0,paid_search
L00479,2025-10-16,Z11,repair,0,0,1,31.0,emergency,20,any,pl,0,paid_search
L00985,2025-10-16,Z17,repair,0,1,1,,none,30,any,en,0,paid_search
L02656,2025-10-16,Z06,install,1,0,1,38.0,none,30,any,en,0,paid_search
L02294,2025-10-16,Z03,repair,1,0,1,37.0,deadline,10,any,en,0,organic
L02797,2025-10-16,Z26,repair,0,1,0,29.0,none,10,any,tr,1,paid_search
L00870,2025-10-16,Z11,repair,0,1,1,38.0,none,40,any,ro,0,paid_search
L01552,2025-10-16,Z13,install,0,1,1,40.0,deadline,40,any,pl,0,referral
L01522,2025-10-16,Z10,repair,1,1,1,43.0,emergency,20,any,ro,0,paid_search
L02682,2025-10-17,Z01,repair,0,1,0,39.0,deadline,10,any,tr,0,paid_search
L01112,2025-10-17,Z05,repair,0,1,1,38.0,none,10,any,ur,0,paid_search
L02663,2025-10-17,Z27,install,0,1,1,21.0,deadline,20,any,en,0,referral
L00835,2025-10-17,Z26,install,1,0,0,40.0,deadline,20,F,pl,0,paid_search
L01277,2025-10-17,Z03,install,1,0,1,45.0,none,40,any,en,0,paid_search
L00387,2025-10-17,Z27,install,1,1,1,44.0,none,20,any,pl,0,paid_search
L02551,2025-10-17,Z29,install,1,1,0,46.0,none,10,any,ur,0,referral
L02883,2025-10-17,Z12,install,1,1,0,29.0,none,10,any,en,1,paid_search
L02008,2025-10-18,Z23,install,1,0,0,39.0,emergency,20,any,en,0,paid_search
L02657,2025-10-18,Z03,install,0,1,0,44.0,deadline,30,F,en,0,referral
L01177,2025-10-18,Z09,repair,0,1,0,48.0,none,30,any,ro,0,referral
L00203,2025-10-18,Z20,install,0,1,1,,deadline,10,any,en,0,paid_search
L00723,2025-10-18,Z15,install,1,1,0,38.0,none,40,any,en,0,paid_search
L01795,2025-10-18,Z29,repair,1,1,1,40.0,none,20,F,tr,1,organic
L00075,2025-10-18,Z10,install,1,1,0,42.0,deadline,20,F,ur,0,paid_search
L00493,2025-10-18,UNKNOWN,install,0,0,1,32.0,none,30,any,en,1,paid_search
L01261,2025-10-18,Z22,repair,1,1,1,38.0,emergency,10,any,en,0,organic
L00094,2025-10-18,Z07,repair,0,0,1,43.0,none,10,any,pl,0,referral
L01647,2025-10-18,Z08,repair,0,1,0,31.0,none,20,any,en,0,referral
L02322,2025-10-18,Z03,repair,0,1,0,36.0,deadline,20,any,ur,1,paid_search
L02415,2025-10-18,Z24,install,0,1,1,33.0,deadline,30,any,ur,0,organic
L00250,2025-10-18,Z14,install,0,1,1,44.0,none,20,any,en,0,referral
L02697,2025-10-18,Z17,install,0,1,1,40.0,deadline,20,any,en,0,paid_search
L02878,2025-10-18,Z26,install,1,0,1,37.0,deadline,30,any,pl,0,referral
L01659,2025-10-18,Z19,install,0,0,0,,none,40,any,en,0,referral
L01517,2025-10-18,Z10,install,0,1,0,32.0,none,10,any,ur,0,paid_search
L01412,2025-10-19,Z09,repair,0,1,0,35.0,none,20,F,tr,0,organic
L01508,2025-10-19,Z23,install,0,1,1,36.0,deadline,20,any,en,0,organic
