provider_id,home_zone,coverage,job_type,price_per_hour,tier,years_experience,gender,language,weekday_day,weekday_eve,weekend,weekly_lead_capacity,rating,credit_balance,joined_at
P0022,Z06,"Z06,Z05,Z20,Z04",repair,34.0,accredited,8,M,ro,1,1,0,2,4.710126676909903,0,2025-03-13
P0023,Z06,"Z06,Z05,Z20,Z04,Z19,Z17",repair,41.0,accredited,18,F,en,0,1,1,5,4.682007500119586,0,2023-11-11
P0024,Z23,"Z23,Z24,Z22,Z21",repair,39.0,accredited,1,M,ur,0,0,1,5,4.0766469202188365,10,2025-03-22
P0025,Z08,"Z08,Z09,Z07",both,40.0,accredited,13,M,ro,1,1,1,3,4.081566283880415,14,2025-02-24
P0026,Z28,"Z28,Z21,Z29,Z27,Z22,Z08,Z09",install,42.0,accredited,14,F,en,1,0,1,3,4.834636336592652,0,2024-07-19
P0027,Z28,"Z28,Z21,Z29",repair,40.0,accredited,7,M,ur,1,1,1,5,4.991367216964996,29,2024-12-05
P0028,Z06,"Z06,Z05,Z20,Z04,Z19,Z17",install,44.0,accredited,16,M,pl,1,0,0,4,4.568440794100604,8,2024-11-28
P0029,Z14,"Z14,Z12,Z15",both,49.0,accredited,23,F,ro,1,0,1,5,4.856450661838438,58,2025-07-20
P0030,Z22,"Z22,Z21,Z23,Z24,Z28",both,40.0,accredited,2,M,en,1,1,1,5,4.602243880658994,34,2024-07-30
P0031,Z03,"Z03,Z01,Z02,Z12",REPAIR,46.0,accredited,12,M,pl,1,1,1,1,4.744214749762729,42,2024-11-14
P0032,Z08,"Z08,Z09,Z07,Z10,Z29",repair,41.0,accredited,2,F,en,1,0,1,3,4.179846010364117,35,2024-02-24
P0033,Z28,"Z28,Z21,Z29,Z27,Z22,Z08,Z09",repair,50.0,accredited,14,M,en,1,1,0,1,4.060226148534972,49,2024-02-19
P0034,Z22,"Z22,Z21,Z23,Z24,Z28,Z27,Z25",repair,43.0,accredited,13,M,ro,1,0,0,4,4.737692065172945,38,2025-08-26
P0035,Z01,"Z01,Z02,Z03,Z05,Z18",both,39.0,accredited,14,M,ro,1,1,0,3,4.471223465299172,51,2024-09-10
P0036,Z17,"Z17,Z18,Z05",install,33.0,accredited,6,F,pl,1,0,1,4,5.0,49,2024-12-25
P0037,Z23,"Z23,Z24,Z22",both,40.0,accredited,17,M,en,1,1,0,3,4.454561371371699,52,2024-06-20
P0038,Z16,"Z16,Z17,Z18,Z05",install,33.0,accredited,8,M,en,1,0,0,2,4.376880109647787,1,2025-03-11
P0039,Z16,"Z16,Z17,Z18,Z05,Z19,Z06",repair,47.0,accredited,24,M,en,1,0,1,1,4.792248448327792,42,2024-05-06
P0040,Z27,"Z27,Z26,Z28,Z29",repair,33.0,apprentice,2,M,ur,1,0,0,1,5.0,26,2024-10-16
P0041,Z05,"Z05,Z18,Z06",install,32.0,apprentice,0,F,tr,1,1,1,5,4.483145697267323,16,2025-02-18
P0042,Z13,"Z13,Z12,Z11",install,41.0,accredited,13,M,en,1,1,1,1,4.452880407653871,50,2024-09-20
P0043,Z13,"Z13,Z12,Z11,Z14",REPAIR,36.0,apprentice,0,M,ro,1,0,0,3,4.79133815175523,9,2025-06-28
P0044,Z04,"Z04,Z05,Z06,Z07,Z02,Z18",install,40.0,apprentice,2,M,tr,1,0,0,2,5.0,12,2024-08-18
P0045,Z25,"Z25,Z26,Z22,Z27,Z21,Z24,Z28",repair,40.0,accredited,14,M,en,1,1,0,2,4.708570358035252,4,2025-01-29
P0046,Z01,"Z01,Z02,Z03,Z05,Z18",install,40.0,accredited,19,M,en,1,0,1,2,4.824746658852246,0,2024-12-17
P0047,Z26,"Z26,Z27,Z25,Z28,Z22,Z29",install,39.0,accredited,19,M,ur,1,1,1,4,4.360019555243396,46,2025-06-14
P0048,Z29,"Z29,Z28,Z08,Z27",repair,36.0,accredited,3,M,en,1,0,0,1,4.693088195158542,19,2025-07-08
P0049,Z03,"Z03,Z01,Z02,Z12,Z11,Z14,Z10",repair,37.0,apprentice,2,M,en,1,1,1,4,4.668614639170477,54,2025-06-21
P0050,Z09,"Z09,Z08,Z10",repair,37.0,accredited,13,M,ur,1,1,0,4,3.9890368232203537,59,2025-01-17
P0051,Z18,"Z18,Z05,Z17,Z16",repair,41.0,accredited,4,M,tr,1,0,1,3,4.009649479641574,45,2024-10-23
P0052,Z19,"Z19,Z06,Z20,Z17,Z05,Z18,Z04",repair,,accredited,8,F,ro,1,1,0,4,5.0,46,2023-11-02
P0053,Z05,"Z05,Z18,Z06,Z17,Z04,Z01",repair,38.0,accredited,10,M,en,0,1,0,4,4.394205503732283,45,2025-02-23
P0054,Z07,"Z07,Z04,Z09,Z08,Z10,Z06",repair,42.0,accredited,24,M,en,0,0,0,5,4.144628472242946,53,2025-08-04
P0055,Z17,"Z17,Z18,Z05",repair,36.0,accredited,2,F,tr,1,0,1,4,4.414242632096087,57,2024-04-04
P0056,Z04,"Z04,Z05,Z06,Z07,Z02",install,36.0,accredited,3,M,en,1,1,0,3,4.4845265373386605,59,2024-09-09
P0057,Z22,"Z22,Z21,Z23,Z24,Z28,Z27",install,36.0,apprentice,1,M,en,1,1,0,1,4.957522020652039,23,2023-12-03
P0058,Z12,"Z12,Z03,Z11,Z13",both,39.0,accredited,22,M,tr,1,1,0,2,4.806245579364157,49,2024-10-21
P0059,Z24,"Z24,Z23,Z22",install,39.0,accredited,7,M,en,1,1,1,2,4.4911455511079925,13,2025-04-17
P0060,Z29,"Z29,Z28,Z08,Z27,Z09,Z10",repair,38.0,accredited,13,M,ro,0,0,1,4,,16,2023-11-14
P0061,Z10,"Z10,Z09,Z11,Z07,Z08,Z02,Z03",repair,42.0,accredited,23,F,en,1,1,1,5,4.518500454249556,11,2025-07-17
P0062,Z15,"Z15,Z14,Z12,Z13,Z03,Z01",BOTH,37.0,accredited,7,F,en,0,1,1,5,4.362582834509231,48,2023-12-22
P0063,Z19,"Z19,Z06,Z20,Z17",install,38.0,accredited,9,M,tr,1,1,1,1,5.0,32,2024-09-25
P0064,Z01,"Z01,Z02,Z03,Z05,Z18,Z04",install,36.0,accredited,1,F,en,1,0,1,5,5.0,40,2025-08-20
P0065,Z03,"Z03,Z01,Z02,Z12,Z11,Z14,Z10",install,39.0,accredited,12,F,en,1,1,0,4,4.69706800318294,53,2024-03-10
P0066,Z19,"Z19,Z06,Z20,Z17,Z05,Z18",both,29.0,accredited,5,M,pl,1,1,0,4,4.802509944557494,36,2023-11-03
P0067,Z19,"Z19,Z06,Z20",install,30.0,apprentice,1,F,pl,1,1,0,2,4.535400622730981,46,2025-02-14
P0068,Z14,"Z14,Z12,Z15,Z03",install,43.0,accredited,12,F,en,1,0,0,4,5.0,3,2024-04-15
P0069,Z23,"Z23,Z24,Z22,Z21",repair,42.0,accredited,19,F,ur,1,0,1,3,5.0,41,2024-05-25
P0070,Z14,"Z14,Z12,Z15,Z03",repair,34.0,accredited,19,M,ur,1,1,1,1,4.462144773451075,37,2025-02-07
P0071,Z21,"Z21,Z28,Z22,Z23,Z27,Z29",repair,33.0,accredited,22,F,tr,1,0,1,4,4.585853955917847,15,2023-12-10
P0072,Z28,"Z28,Z21,Z29,Z27",repair,40.0,accredited,15,M,en,1,1,0,4,4.506933557797529,0,2024-08-13
P0073,Z01,"Z01,Z02,Z03,Z05,Z18,Z04",repair,42.0,accredited,3,M,en,1,1,1,4,4.841961407673256,35,2025-05-09
P0074,Z12,"Z12,Z03,Z11",repair,40.0,accredited,4,M,en,0,0,1,3,,12,2023-11-28
P0075,Z27,"Z27,Z26,Z28,Z29,Z21,Z22,Z08",repair,45.0,accredited,18,F,ro,1,0,0,3,4.9416442803129055,0,2024-05-20
P0076,Z20,"Z20,Z06,Z19,Z04",repair,41.0,apprentice,0,M,en,1,1,0,5,4.937977658885886,9,2025-07-26
P0077,Z21,"Z21,Z28,Z22,Z23,Z27",repair,43.0,accredited,20,M,en,1,1,0,5,4.294447390702026,8,2024-08-12
P0078,Z18,"Z18,Z05,Z17",repair,39.0,accredited,19,M,en,0,0,1,5,4.294807691284085,0,2025-01-04
P0079,Z02,"Z02,Z01,Z03",repair,44.0,accredited,1,M,tr,1,1,1,5,4.4953174473667445,2,2024-09-14
P0080,Z30,"Z30,Z29,Z27,Z08,Z26,Z09,Z28",install,35.0,apprentice,1,M,ur,1,1,0,5,4.4386920644183245,39,2025-06-28
P0081,Z07,"Z07,Z04,Z09,Z08,Z10",install,38.0,accredited,9,M,tr,1,1,1,3,4.785618279718233,45,2025-03-07
P0082,Z07,"Z07,Z04,Z09,Z08",repair,37.0,accredited,15,F,ur,0,1,1,1,4.847761155074205,44,2024-12-03
P0083,Z27,"Z27,Z26,Z28,Z29",install,38.0,apprentice,1,M,tr,1,1,1,1,4.820606042632469,17,2024-04-15
P0084,Z24,"Z24,Z23,Z22",both,30.0,apprentice,0,F,en,1,0,0,1,4.872180291965148,12,2025-08-06
P0085,Z19,"Z19,Z06,Z20,Z17,Z05,Z18,Z04",both,44.0,accredited,24,M,pl,1,0,1,5,4.909664619180148,0,2024-03-27
P0086,Z07,"Z07,Z04,Z09,Z08,Z10,Z06",both,31.0,accredited,11,F,ur,1,0,1,3,4.777479685848144,45,2024-11-27
P0087,Z05,"Z05,Z18,Z06,Z17,Z04",repair,44.0,accredited,4,M,en,1,0,1,2,,5,2025-05-19
P0088,Z17,"Z17,Z18,Z05,Z16",repair,33.0,accredited,3,F,ur,1,0,1,3,4.875640947826848,25,2024-06-16
P0089,Z22,"Z22,Z21,Z23,Z24,Z28,Z27,Z25",repair,40.0,accredited,20,M,en,1,0,0,2,4.309672789851861,32,2024-04-21
P0090,Z10,"Z10,Z09,Z11,Z07,Z08",install,38.0,accredited,18,M,ur,1,0,0,3,4.752634010542932,30,2025-03-31
P0091,Z24,"Z24,Z23,Z22,Z21",both,29.0,accredited,5,M,ro,1,1,1,5,5.0,43,2024-09-21
P0092,Z18,"Z18,Z05,Z17,Z16,Z06,Z01",repair,39.0,accredited,12,M,pl,0,0,0,3,4.340075356452945,53,2024-02-01
P0093,Z10,"Z10,Z09,Z11,Z07,Z08,Z02",install,38.0,accredited,22,F,tr,1,1,1,3,4.589018653767249,40,2023-12-30
P0094,Z18,"Z18,Z05,Z17,Z16,Z06,Z01,Z04",install,36.0,accredited,8,M,ur,1,0,1,4,4.395840369389503,12,2023-12-18
P0095,Z02,"Z02,Z01,Z03,Z04,Z05,Z07",install,40.0,accredited,24,F,en,1,0,1,5,4.835833540045477,2,2024-08-10
P0096,Z19,"Z19,Z06,Z20,Z17,Z05",repair,36.0,apprentice,1,M,tr,1,0,1,4,4.125807563031347,33,2024-02-09
P0097,Z03,"Z03,Z01,Z02,Z12,Z11",install,44.0,accredited,2,M,en,1,0,0,5,4.958913161661663,58,2025-04-14
P0098,Z30,"Z30,Z29,Z27,Z08,Z26",install,32.0,accredited,4,M,pl,1,0,0,2,4.872328442559465,53,2024-03-10
P0099,Z16,"Z16,Z17,Z18,Z05,Z19,Z06",install,,apprentice,1,M,ro,1,0,1,3,4.401456604871396,31,2023-10-07
P0100,Z10,"Z10,Z09,Z11,Z07,Z08",repair,34.0,accredited,7,F,tr,1,1,1,1,4.148998133283694,17,2024-09-05
P0101,Z16,"Z16,Z17,Z18,Z05,Z19,Z06,Z01",BOTH,38.0,apprentice,1,M,ro,1,0,0,1,5.0,9,2024-12-01
P0102,Z06,"Z06,Z05,Z20",repair,30.0,apprentice,0,F,en,1,1,1,2,4.061504850110433,10,2024-12-25
P0103,Z07,"Z07,Z04,Z09,Z08,Z10",install,32.0,accredited,1,M,en,1,0,0,1,4.3572734840456775,58,2025-01-22
P0104,Z11,"Z11,Z12,Z10,Z03,Z02,Z13,Z01",repair,45.0,accredited,10,M,pl,1,0,0,5,4.600150387551464,53,2025-04-08
P0105,Z11,"Z11,Z12,Z10,Z03",repair,39.0,accredited,3,F,en,1,1,1,3,4.911688121324193,30,2025-01-26
P0106,Z14,"Z14,Z12,Z15",REPAIR,37.0,apprentice,0,M,ro,0,0,0,2,4.821109941334665,47,2024-07-13
P0107,Z29,"Z29,Z28,Z08,Z27",repair,40.0,apprentice,2,F,en,1,0,0,4,4.41571925102123,0,2025-07-18
P0108,Z10,"Z10,Z09,Z11,Z07,Z08,Z02",install,45.0,accredited,21,F,en,0,0,0,5,4.706893530049015,10,2025-08-07
P0109,Z27,"Z27,Z26,Z28,Z29,Z21",repair,39.0,accredited,6,M,en,1,1,0,3,4.64519854168303,7,2024-05-14
P0110,Z03,"Z03,Z01,Z02,Z12,Z11,Z14,Z10",repair,36.0,apprentice,0,M,en,1,0,0,4,4.628881031208611,19,2024-12-16
P0111,Z18,"Z18,Z05,Z17,Z16,Z06,Z01",install,35.0,apprentice,2,F,pl,1,1,1,2,4.350972064542241,35,2024-11-01
P0112,Z26,"Z26,Z27,Z25,Z28,Z22,Z29,Z21",both,31.0,apprentice,2,M,ur,1,0,1,4,4.875993608433018,4,2025-03-28
P0113,Z29,"Z29,Z28,Z08",repair,48.0,accredited,17,M,pl,1,0,0,4,,55,2025-06-19
P0114,Z12,"Z12,Z03,Z11,Z13,Z14,Z02",install,35.0,apprentice,0,M,en,1,0,0,3,4.647027271686672,16,2025-02-23
P0115,Z20,"Z20,Z06,Z19",both,35.0,apprentice,0,M,tr,1,0,0,5,4.950572083498897,2,2025-01-10
P0116,Z04,"Z04,Z05,Z06,Z07",both,26.0,accredited,7,F,en,1,0,1,4,4.955934521181199,27,2025-05-02
P0117,Z27,"Z27,Z26,Z28,Z29,Z21,Z22",repair,48.0,accredited,24,M,en,1,0,1,1,4.580525178342566,49,2023-12-15
P0118,Z01,"Z01,Z02,Z03,Z05,Z18,Z04",both,39.0,apprentice,1,F,en,1,0,0,4,4.042458045268313,23,2025-01-02
P0119,Z21,"Z21,Z28,Z22,Z23,Z27,Z29,Z24",install,38.0,apprentice,0,M,en,1,0,1,1,4.328368336206494,39,2024-03-25
P0120,Z10,"Z10,Z09,Z11,Z07,Z08",both,37.0,apprentice,0,M,en,1,0,0,2,4.668852638805388,29,2025-02-10
P0121,Z30,"Z30,Z29,Z27,Z08,Z26,Z09,Z28",both,35.0,accredited,1,M,en,1,0,1,2,4.498307729917752,20,2023-10-27
P0122,Z25,"Z25,Z26,Z22,Z27,Z21,Z24",repair,,accredited,6,M,en,1,1,0,2,4.762304279620505,0,2025-04-06
P0123,Z28,"Z28,Z21,Z29,Z27,Z22,Z08",install,43.0,accredited,18,M,pl,0,1,1,5,4.626522296989273,35,2024-12-11
P0124,Z09,"Z09,Z08,Z10,Z07,Z11,Z29,Z04",both,48.0,accredited,22,F,tr,1,1,1,3,5.0,0,2025-08-06
P0125,Z20,"Z20,Z06,Z19,Z04,Z05",repair,43.0,accredited,22,M,en,1,0,0,4,4.461155468174045,13,2024-04-05
P0126,Z27,"Z27,Z26,Z28,Z29,Z21,Z22,Z08",repair,40.0,accredited,12,F,en,1,1,1,3,4.6279153898654615,58,2024-10-10
P0127,Z13,"Z13,Z12,Z11,Z14,Z03",install,43.0,accredited,14,M,ur,1,0,1,2,4.820531063730095,0,2024-10-06
P0128,Z07,"Z07,Z04,Z09",install,31.0,apprentice,0,F,ur,1,0,0,4,4.808680970687934,10,2025-08-14
P0129,Z22,"Z22,Z21,Z23,Z24",install,30.0,accredited,2,M,en,1,1,1,2,,43,2024-11-27
P0130,Z02,"Z02,Z01,Z03,Z04",install,39.0,accredited,16,M,en,1,0,0,3,5.0,58,2025-06-23
P0131,Z17,"Z17,Z18,Z05",install,32.0,accredited,1,M,en,1,0,1,3,4.583202616879518,0,2025-03-29
P0132,Z30,"Z30,Z29,Z27,Z08,Z26,Z09,Z28",both,48.0,accredited,19,M,en,1,0,1,5,5.0,12,2024-01-30
P0133,Z19,"Z19,Z06,Z20,Z17,Z05,Z18,Z04",repair,41.0,accredited,10,M,en,1,0,1,4,,28,2024-08-08
P0134,Z25,"Z25,Z26,Z22,Z27,Z21",repair,42.0,accredited,24,M,ro,1,0,1,1,4.708832852582704,0,2025-08-25
P0135,Z03,"Z03,Z01,Z02,Z12",both,43.0,accredited,6,M,en,1,1,1,3,4.253137368482829,31,2025-05-20
P0136,Z07,"Z07,Z04,Z09,Z08,Z10",repair,32.0,accredited,12,M,pl,1,0,1,2,4.903518217783309,0,2024-05-08
P0137,Z02,"Z02,Z01,Z03,Z04,Z05,Z07",install,39.0,accredited,19,F,tr,1,1,1,2,4.949988890271289,46,2024-07-15
P0138,Z09,"Z09,Z08,Z10,Z07,Z11,Z29",both,44.0,accredited,18,M,pl,1,0,1,2,4.383773455087328,56,2025-03-11
P0139,Z08,"Z08,Z09,Z07",repair,38.0,accredited,7,F,en,1,0,1,2,4.301025796068247,30,2024-01-05
P0140,Z18,"Z18,Z05,Z17,Z16,Z06,Z01,Z04",install,38.0,apprentice,2,M,ro,1,1,1,1,4.543256247386548,8,2024-09-06
P0141,Z03,"Z03,Z01,Z02",install,34.0,apprentice,0,M,en,1,1,1,4,4.9991526150250705,17,2025-01-12
P0142,Z16,"Z16,Z17,Z18,Z05,Z19,Z06",repair,32.0,accredited,9,M,en,1,1,0,2,4.558321509105205,44,2023-12-03
P0143,Z12,"Z12,Z03,Z11,Z13,Z14,Z02",install,,apprentice,2,F,en,0,0,0,5,4.06109677904596,53,2024-02-11
P0144,Z05,"Z05,Z18,Z06",repair,46.0,accredited,24,M,en,1,1,0,3,4.246890095058379,28,2024-07-10
P0145,Z02,"Z02,Z01,Z03,Z04,Z05,Z07,Z11",both,36.0,accredited,3,F,tr,0,1,1,5,4.875078958571339,25,2024-08-08
P0146,Z16,"Z16,Z17,Z18,Z05",repair,36.0,accredited,22,M,en,1,1,0,1,4.3428818183110875,3,2024-11-27
P0147,Z04,"Z04,Z05,Z06,Z07,Z02,Z18,Z20",install,43.0,accredited,9,F,tr,1,0,0,5,4.261420279101802,5,2025-04-26
P0148,Z12,"Z12,Z03,Z11,Z13,Z14,Z02,Z01",install,33.0,apprentice,0,M,en,1,0,1,2,4.5884558107490925,55,2024-03-02
P0149,Z19,"Z19,Z06,Z20,Z17",install,38.0,accredited,4,M,ro,0,0,1,3,4.337377273230048,11,2025-01-23
P0150,Z18,"Z18,Z05,Z17",repair,40.0,accredited,6,M,pl,0,0,0,5,4.954584551931186,7,2024-06-25
P0151,Z16,"Z16,Z17,Z18,Z05,Z19,Z06",repair,37.0,accredited,20,M,en,1,1,0,5,4.567869789244811,0,2025-08-26
P0152,Z18,"Z18,Z05,Z17",repair,38.0,accredited,2,F,ur,1,0,0,4,4.343778434154604,43,2024-01-03
P0153,Z15,"Z15,Z14,Z12,Z13,Z03,Z01",install,38.0,accredited,9,M,ur,1,1,1,5,4.842132931643088,35,2024-12-19
P0154,Z05,"Z05,Z18,Z06",repair,43.0,accredited,19,M,ur,1,1,0,2,4.866005889373025,43,2024-10-23
P0155,Z24,"Z24,Z23,Z22,Z21,Z28",repair,34.0,accredited,12,M,pl,1,1,1,1,4.636314978093774,50,2023-12-08
P0156,Z22,"Z22,Z21,Z23,Z24,Z28",install,42.0,accredited,19,M,ur,0,1,0,1,4.483094839469582,0,2025-07-08
P0157,Z20,"Z20,Z06,Z19,Z04",repair,,accredited,22,F,en,1,1,1,4,4.722496358179029,5,2024-07-29
P0158,Z05,"Z05,Z18,Z06,Z17,Z04,Z01,Z02",both,42.0,apprentice,1,M,ur,0,1,0,5,4.771542563685776,35,2025-07-04
P0159,Z25,"Z25,Z26,Z22,Z27,Z21",repair,39.0,accredited,13,F,ro,0,1,0,2,4.9194851384650375,53,2024-06-30
P0160,Z05,"Z05,Z18,Z06,Z17,Z04,Z01",repair,35.0,apprentice,1,F,en,0,0,0,4,4.50752724362098,27,2025-01-23
P0161,Z03,"Z03,Z01,Z02,Z12,Z11,Z14,Z10",install,39.0,accredited,18,F,ur,1,0,1,3,4.321010946220581,48,2025-01-30
P0162,Z30,"Z30,Z29,Z27,Z08,Z26,Z09",both,36.0,accredited,5,M,en,1,0,1,3,4.693079678346283,19,2025-04-20
P0163,Z03,"Z03,Z01,Z02,Z12",INSTALL,37.0,accredited,10,M,ur,1,0,0,1,4.963816934147242,22,2024-04-08
P0164,Z19,"Z19,Z06,Z20,Z17,Z05,Z18",both,41.0,accredited,15,M,en,1,1,1,5,4.830299771318528,46,2024-10-16
P0165,Z23,"Z23,Z24,Z22,Z21,Z28,Z27,Z29",repair,40.0,accredited,2,F,en,1,0,1,3,4.242604800325035,33,2024-05-10
P0166,Z22,"Z22,Z21,Z23,Z24,Z28,Z27,Z25",repair,32.0,accredited,2,M,pl,0,0,0,4,4.798022799395501,36,2025-01-19
P0167,Z17,"Z17,Z18,Z05",both,41.0,accredited,23,M,pl,1,0,1,5,4.8838897748848025,49,2024-12-21
P0168,Z01,"Z01,Z02,Z03,Z05,Z18",install,33.0,accredited,15,F,en,1,1,1,4,4.180321004838284,57,2025-06-11
P0169,Z06,"Z06,Z05,Z20,Z04,Z19,Z17",repair,41.0,accredited,13,M,en,0,0,1,4,4.280185971144965,48,2024-08-12
P0170,Z20,"Z20,Z06,Z19",repair,38.0,accredited,11,M,ro,1,1,1,4,4.852261301493093,54,2024-09-01
P0171,Z13,"Z13,Z12,Z11,Z14",both,48.0,accredited,2,F,ro,1,1,1,4,3.9307850239812225,19,2025-01-23
P0172,Z01,"Z01,Z02,Z03,Z05",repair,27.0,apprentice,2,M,en,1,0,1,5,4.669789608384092,41,2025-04-29
P0173,Z12,"Z12,Z03,Z11,Z13,Z14,Z02,Z01",repair,43.0,accredited,12,M,en,1,0,0,3,4.477811039484645,18,2024-11-19
P0174,Z21,"Z21,Z28,Z22",both,39.0,accredited,12,M,ur,1,1,1,1,4.819991366650386,34,2025-04-07
P0175,Z14,"Z14,Z12,Z15,Z03,Z13,Z01,Z11",repair,45.0,accredited,20,M,en,1,0,0,3,4.058501577970711,4,2024-08-27
P0176,Z16,"Z16,Z17,Z18",repair,38.0,accredited,16,M,pl,1,0,0,1,4.204152129525308,45,2024-06-12
P0177,Z16,"Z16,Z17,Z18",repair,38.0,accredited,11,M,tr,1,1,0,5,4.593903961029787,56,2025-08-31
P0178,Z04,"Z04,Z05,Z06,Z07",install,44.0,accredited,16,M,en,1,0,0,1,4.620666460148946,54,2025-04-09
P0179,Z20,"Z20,Z06,Z19,Z04,Z05,Z07",repair,40.0,apprentice,0,F,pl,1,1,0,2,4.935807043125201,3,2025-08-14
P0180,Z27,"Z27,Z26,Z28",install,44.0,accredited,10,M,en,1,0,0,3,4.535418232708435,5,2024-07-12
P0181,Z15,"Z15,Z14,Z12,Z13,Z03,Z01,Z02",both,38.0,apprentice,1,M,ro,1,1,1,1,4.461219568951291,4,2023-12-07
P0182,Z30,"Z30,Z29,Z27,Z08,Z26",both,29.0,accredited,4,F,en,1,0,0,3,4.675073921732106,21,2024-12-22
P0183,Z08,"Z08,Z09,Z07,Z10,Z29,Z04",install,41.0,accredited,21,M,en,1,1,1,5,4.576343419619623,30,2024-04-26
P0184,Z18,"Z18,Z05,Z17",repair,29.0,accredited,2,M,pl,1,0,0,3,4.235752192724483,44,2025-08-02
P0185,Z03,"Z03,Z01,Z02,Z12,Z11,Z14",install,39.0,accredited,9,M,en,1,1,0,2,4.650953373437047,9,2024-12-15
P0186,Z09,"Z09,Z08,Z10,Z07,Z11,Z29",repair,38.0,accredited,6,M,en,1,1,0,5,4.8763681366319105,36,2024-02-27
P0187,Z21,"Z21,Z28,Z22,Z23,Z27",both,39.0,apprentice,0,F,ro,1,0,1,1,4.591047723334333,44,2025-06-23
P0188,Z26,"Z26,Z27,Z25,Z28,Z22",repair,33.0,apprentice,1,M,en,1,1,1,4,4.268482533897047,37,2024-01-09
P0189,Z12,"Z12,Z03,Z11,Z13,Z14",install,40.0,apprentice,0,M,tr,1,0,1,5,4.621370454915252,12,2025-07-07
P0190,Z30,"Z30,Z29,Z27,Z08",repair,36.0,accredited,12,M,ro,1,1,1,2,4.398379418976091,16,2025-01-23
P0191,Z01,"Z01,Z02,Z03",install,41.0,accredited,8,F,en,1,0,1,4,4.725209290975286,5,2024-08-28
P0192,Z08,"Z08,Z09,Z07,Z10",both,38.0,accredited,7,M,ro,1,0,1,3,4.647918567834128,0,2023-11-12
P0193,Z18,"Z18,Z05,Z17,Z16,Z06,Z01,Z04",both,45.0,accredited,24,F,en,0,1,1,4,4.395048890942089,31,2024-02-04
P0194,Z09,"Z09,Z08,Z10,Z07",repair,41.0,accredited,23,M,en,1,0,1,2,4.748821814129601,0,2024-01-08
