feedback_id,created_at,author_type,channel,text,true_theme
F00070,2025-12-17,customer,review,feedback: asked for cash up front for the full job then said the rate had gone up would appreciate a reply,price_dispute
F00071,2026-02-04,provider,support,"FYI Credits not refunded after the customer cancelled, support not replying Thanks",credits_refund
F00072,2025-11-30,customer,review,"Feedback: Explains things in a way that actually makes sense, worth every penny Please sort it out",workmanship_quality
F00073,2025-10-24,customer,support,"Feedback: Was told £32 an hour, invoice came in at £46, no explanation Second time this has happened",price_dispute
F00074,2026-02-07,customer,support,feedback: would be nice to actually get a response from the person i was matched with thanks,provider_communication
F00075,2026-02-17,customer,support,Feedback: Provider bought my lead but never contacted me Not impressed,provider_communication
F00076,2025-11-07,provider,support,"FYI Two appointments in a row moved at the last minute, I've lost a week Not impressed",provider_no_show
F00077,2025-11-30,customer,survey,"honestly, really thorough, explained the whole job clearly and finished ahead of time! would appreciate a reply",workmanship_quality
F00078,2025-12-25,customer,support,"Honestly, Kept coming back for the same fault each week, no real progress at all This was in Z17",workmanship_quality
F00079,2025-10-28,provider,review,Not happy. The availability calendar doesn't keep my changes after I close it,app_bug
F00080,2026-01-22,provider,review,fyi the app crashes every time i open the leads tab cheers I live near Z11 3ED,app_bug
F00081,2026-02-19,provider,review,"Feedback: Customer never answered, wasted credits again my number is 07700 900948 -- This message was sent via the marketplace app",lead_quality
F00082,2025-12-04,customer,support,So Nobody got in touch after I filled in the form This was in Z06,provider_communication
F00083,2026-01-17,customer,review,"Quick one: Cancelled on me twice last minute, really unreliable Please sort it out",provider_no_show
F00084,2025-10-25,provider,review,"Quick one: Someone wanting an installation sent to me, I only do repairs, that's on you Please sort it out -- This message was sent via the marketplace app",lead_quality
F00085,2025-11-16,customer,support,"Every visit had a clear plan and a recap at the end, finished in 10 days",workmanship_quality
F00086,2026-01-11,provider,review,"So Same customer sent to me twice, charged twice Been using the site since September",lead_quality
F00087,2025-09-12,customer,support,Not happy. Would be nice to actually get a response from the person I was matched with Been using the site since October,provider_communication
F00088,2025-10-23,provider,survey,FYI Notifications arrive hours late so I miss leads Been using the site since October,app_bug
F00089,2026-02-08,customer,survey,"Honestly, Sent three messages, no reply for a week Otherwise fine",provider_communication
F00090,2025-09-23,customer,survey,"Not happy. Booked a morning slot, waited 40 minutes, nobody came. No explanation my number is 07700 900449",provider_no_show
F00091,2026-01-18,customer,support,"fyi two appointments in a row moved at the last minute, i've lost a week",provider_no_show
F00092,2025-12-12,provider,survey,not happy. bought 14 leads this month and only one picked up the phone please sort it out,lead_quality
F00093,2026-02-17,provider,review,"Just to say Credits not refunded after the customer cancelled, support not replying Cheers",credits_refund
F00094,2026-01-19,provider,review,"FYI Login loop on Android, keeps sending me back to the start screen Please sort it out",app_bug
F00095,2026-01-30,provider,review,"just to say the customer was actually two counties away, the address must have been typed wrong",lead_quality
F00096,2025-12-18,provider,support,notifications arrive hours late so i miss leads Sent from my iPhone,app_bug
F00097,2025-09-03,customer,support,"Hi, Two appointments in a row moved at the last minute, I've lost a week Been using the site since November",provider_no_show
F00098,2025-12-14,customer,review,"Hi, Really thorough, explained the whole job clearly and finished ahead of time!",workmanship_quality
F00099,2025-12-25,customer,support,"Just to say Two appointments in a row moved at the last minute, I've lost a week",provider_no_show
F00100,2026-02-28,provider,support,"hi, top up went through on my card but the balance didn't change otherwise fine",credits_refund
F00101,2026-02-24,customer,support,"Update - Explains things in a way that actually makes sense, worth every penny Thanks email me at kwame25@example.com",workmanship_quality
F00102,2025-11-14,customer,review,"Hi, He simply didn't show up on Saturday and went quiet afterwards Thanks",provider_no_show
F00103,2025-12-18,provider,review,"Quick one: Can't update my coverage zones, the save button is greyed out",app_bug
F00104,2026-01-04,customer,support,just to say quoted one price then asked for more once the work started,price_dispute
F00105,2026-02-04,customer,review,"not happy. every visit had a clear plan and a recap at the end, finished in 3 days thanks",workmanship_quality
F00106,2025-09-18,customer,support,"Honestly, Explains things in a way that actually makes sense, worth every penny Thanks email me at marek10@example.com",workmanship_quality
F00107,2025-11-16,provider,support,Update - Notifications arrive hours late so I miss leads I live near Z23 1DD,app_bug
F00108,2025-12-07,provider,review,,lead_quality
F00109,2026-02-04,provider,review,So Two refunds approved by email but nothing showing in the account Not impressed my number is 07700 900061,credits_refund
F00110,2025-12-06,provider,survey,So Bought 13 leads this month and only one picked up the phone Please sort it out,lead_quality
F00111,2025-12-09,customer,review,He simply didn't show up on Saturday and went quiet afterwards Not impressed,provider_no_show
F00112,2025-11-16,provider,review,"Quick one: Was promised my money back for the fake enquiry, 14 days later still waiting Would appreciate a reply",credits_refund
F00113,2025-12-29,customer,review,"FYI Left me waiting at the property in Z20 all morning, no message nothing Otherwise fine",provider_no_show
F00114,2026-01-05,provider,support,"Hi, Someone wanting an installation sent to me, I only do repairs, that's on you Please sort it out",lead_quality
F00115,2026-02-23,customer,support,"Still waiting for someone to call me back, it's been 13 days Would appreciate a reply",provider_communication
F00116,2026-02-23,provider,support,"Quick one: Expensive compared to what was advertised, felt misled",price_dispute
F00117,2025-09-04,provider,support,"Update - Was promised my money back for the fake enquiry, 8 days later still waiting Otherwise fine",credits_refund
F00118,2025-12-06,customer,review,"Feedback: Every visit had a clear plan and a recap at the end, finished in 12 days Please sort it out",workmanship_quality
F00119,2025-12-19,customer,review,"Was told £30 an hour, invoice came in at £40, no explanation This was in Z10",price_dispute
F00120,2025-10-14,customer,support,So Paid for the lead apparently but I never heard from anyone my number is 07700 900773,provider_communication
F00121,2025-09-19,customer,review,Price on the profile said £39 but he charged £43 per hour,price_dispute
F00122,2025-11-04,provider,review,"feedback: cancelled on me twice last minute, really unreliable would appreciate a reply",provider_no_show
F00123,2025-10-15,provider,review,"Just to say Was late again by half an hour, third time this month my number is 07700 900621 Sent from my iPhone",provider_no_show
F00124,2025-12-28,customer,review,"Just to say Still waiting for someone to call me back, it's been 14 days Otherwise fine Sent from my iPhone",provider_communication
F00125,2025-09-11,provider,review,"update - the refund button does nothing, credits just disappeared not impressed",credits_refund
F00126,2026-01-20,customer,support,"Update - Explains things in a way that actually makes sense, worth every penny This was in Z28",workmanship_quality
F00127,2026-01-14,customer,review,"Spent most of the visit on his phone, barely explained anything",workmanship_quality
F00128,2025-10-09,provider,review,map view is blank on my phone since the last update I live near Z21 3BD,app_bug
F00129,2025-09-11,customer,survey,"Booked a morning slot, waited 40 minutes, nobody came. No explanation Cheers",provider_no_show
F00130,2025-10-17,customer,support,Feedback: Nice enough but I didn't feel much had been done after ten hours Been using the site since December,workmanship_quality
F00131,2026-01-03,customer,review,"Honestly, Was late again by half an hour, third time this month",provider_no_show
F00132,2025-11-27,customer,survey,"FYI Provider Olga didn't turn up for the first visit and never called Cheers Regards,",provider_no_show
F00133,2026-01-23,customer,survey,Just to say Provider Priya didn't turn up for the first visit and never called Would appreciate a reply,provider_no_show
F00134,2025-11-25,customer,review,"Just to say Cancelled on me twice last minute, really unreliable Been using the site since September",provider_no_show
F00135,2026-02-28,provider,support,Feedback: Map view is blank on my phone since the last update I live near Z29 3ED -- This message was sent via the marketplace app,app_bug
F00136,2025-11-12,customer,review,"fyi two appointments in a row moved at the last minute, i've lost a week not impressed my number is 07700 900971",provider_no_show
F00137,2026-01-11,provider,support,fyi paid for a lead and the customer's number was disconnected second time this has happened,lead_quality
F00138,2025-12-26,provider,support,"getting enquiries from people who want work in three months, not now second time this has happened I live near Z11 8BF",lead_quality
F00139,2025-09-22,customer,support,paid for the lead apparently but i never heard from anyone please sort it out,provider_communication
F00140,2025-09-21,customer,review,Feedback: Quoted one price then asked for more once the work started Would appreciate a reply -- This message was sent via the marketplace app,price_dispute
F00141,2025-12-03,customer,review,"fyi felt rushed, didn't finish the sealing properly before leaving not impressed",workmanship_quality
F00142,2025-10-03,customer,support,"explains things in a way that actually makes sense, worth every penny would appreciate a reply",workmanship_quality
F00143,2025-09-17,provider,review,"FYI Still waiting for someone to call me back, it's been 3 days Cheers",provider_communication
F00144,2026-03-01,provider,support,"Honestly, Credits not refunded after the customer cancelled, support not replying Thanks",credits_refund
F00145,2026-01-05,customer,support,Quick one: Turned up 25 minutes into a one hour slot and still charged the full hour Second time this has happened my number is 07700 900582,provider_no_show
F00146,2026-01-16,customer,review,"So Still waiting for someone to call me back, it's been 5 days I live near Z16 4AD",provider_communication
F00147,2026-01-15,provider,review,"hi, can't update my coverage zones, the save button is greyed out please sort it out",app_bug
F00148,2025-11-20,provider,survey,Uploaded a new profile photo and it shows sideways Been using the site since October,app_bug
F00149,2026-01-18,customer,review,Turned up 25 minutes into a one hour slot and still charged the full hour my number is 07700 900788 -- This message was sent via the marketplace app,provider_no_show
F00150,2025-12-08,customer,survey,"Quick one: Every visit had a clear plan and a recap at the end, finished in 12 days Not impressed",workmanship_quality
F00151,2025-12-06,customer,support,"Update - Brilliant at talking me through the options, I was dreading this and it was painless Thanks -- This message was sent via the marketplace app",workmanship_quality
F00152,2026-01-20,provider,support,"just to say still waiting for someone to call me back, it's been 7 days my number is 07700 900174 Regards,",provider_communication
F00153,2025-12-21,customer,review,"FYI Filled in my details twice and heard nothing, is this site even active",provider_communication
F00154,2025-11-15,customer,survey,"Honestly, Great tradesperson, tidy and methodical, highly recommend Second time this has happened",workmanship_quality
F00155,2025-11-20,provider,support,"requested a refund for a dead lead 2 weeks ago, still nothing been using the site since january",credits_refund
F00156,2026-02-28,provider,review,So Third enquiry this week where the person says they never filled anything in Otherwise fine my number is 07700 900389,lead_quality
F00157,2026-01-29,provider,review,"the refund button does nothing, credits just disappeared second time this has happened",credits_refund
F00158,2026-01-09,provider,survey,n/a,noise
F00159,2026-01-25,customer,support,"Just to say Spent most of the visit on his phone, barely explained anything Would appreciate a reply",workmanship_quality
F00160,2025-11-22,provider,support,"login loop on android, keeps sending me back to the start screen",app_bug
F00161,2025-10-16,customer,review,"Just to say Site left spotless and every connection checked, felt genuinely professional Thanks",safety_issue
F00162,2025-10-26,customer,survey,good,noise
F00163,2025-10-22,customer,review,"feedback: brilliant at talking me through the options, i was dreading this and it was painless second time this has happened Sent from my iPhone",workmanship_quality
F00164,2026-01-08,provider,review,"fyi customer never answered, wasted credits again not impressed",lead_quality
F00165,2025-10-11,customer,review,Update - Asked for cash up front for the full job then said the rate had gone up Otherwise fine,price_dispute
F00166,2026-02-11,customer,review,"Feedback: Brilliant at talking me through the options, I was dreading this and it was painless Second time this has happened Sent from my iPhone",workmanship_quality
F00167,2026-02-25,provider,support,"Hi, Can't update my coverage zones, the save button is greyed out Would appreciate a reply",app_bug
F00168,2025-10-20,customer,support,"Quick one: No dust sheets, no mask, debris left all over a room with a baby in it Otherwise fine my number is 07700 900062 -- This message was sent via the marketplace app",safety_issue
F00169,2025-10-09,provider,support,ok,noise
F00170,2025-11-02,provider,support,"turned up 25 minutes into a one hour slot and still charged the full hour this was in z11 Regards,",provider_no_show
F00171,2026-02-27,customer,review,"Feedback: Two appointments in a row moved at the last minute, I've lost a week Thanks",provider_no_show
F00172,2025-10-12,customer,support,Feedback: He simply didn't show up on Saturday and went quiet afterwards Thanks,provider_no_show
F00173,2026-02-02,customer,survey,"explains things in a way that actually makes sense, worth every penny",workmanship_quality
F00174,2026-02-03,provider,support,"Was promised my money back for the fake enquiry, 2 days later still waiting Regards,",credits_refund
F00175,2025-09-21,provider,survey,"FYI Getting enquiries from people who want work in three months, not now Second time this has happened -- This message was sent via the marketplace app",lead_quality
F00176,2026-01-24,provider,review,"so the customer was actually two counties away, the address must have been typed wrong cheers",lead_quality
F00177,2026-01-27,customer,survey,"So Site left spotless and every connection checked, felt genuinely professional Second time this has happened",safety_issue
F00178,2025-09-29,customer,survey,So Provider Sophie didn't turn up for the first visit and never called,provider_no_show
F00179,2026-02-21,customer,support,Quick one: Nobody got in touch after I filled in the form Been using the site since October I live near Z10 1BD,provider_communication
F00180,2025-09-04,customer,review,"So Felt rushed, didn't finish the sealing properly before leaving",workmanship_quality
F00181,2025-10-08,provider,review,"Update - The refund button does nothing, credits just disappeared Been using the site since October",credits_refund
F00182,2025-09-11,provider,support,"Customer never answered, wasted credits again Second time this has happened -- This message was sent via the marketplace app",lead_quality
F00183,2026-01-06,customer,review,"So Lovely clean job, everything tested and certified before he left",safety_issue
F00184,2025-09-05,customer,support,Turned up 25 minutes into a one hour slot and still charged the full hour Second time this has happened,provider_no_show
F00185,2025-11-30,customer,survey,"Left me waiting at the property in Z13 all morning, no message nothing Thanks -- This message was sent via the marketplace app",provider_no_show
F00186,2025-10-05,customer,support,good,noise
F00187,2025-12-01,customer,support,"Not happy. Cancelled on me twice last minute, really unreliable Would appreciate a reply",provider_no_show
F00188,2025-11-06,provider,review,map view is blank on my phone since the last update would appreciate a reply,app_bug
F00189,2025-10-28,provider,review,"hi, customer never answered, wasted credits again not impressed",lead_quality
F00190,2026-01-27,provider,review,"Hi, The app crashes every time I open the leads tab Not impressed my number is 07700 900401",app_bug
F00191,2025-11-29,customer,support,"Feedback: Spent most of the visit on his phone, barely explained anything",workmanship_quality
F00192,2025-11-13,customer,survey,"Update - Really thorough, explained the whole job clearly and finished ahead of time!",workmanship_quality
F00193,2025-09-28,provider,review,"Honestly, Map view is blank on my phone since the last update Second time this has happened",app_bug
F00194,2026-01-27,provider,support,"Quick one: Customer never answered, wasted credits again Been using the site since December",lead_quality
F00195,2025-12-21,customer,review,"Feedback: Left me waiting at the property in Z22 all morning, no message nothing This was in Z22 email me at olga64@example.com",provider_no_show
F00196,2026-02-19,provider,survey,So Customers keep saying they already found someone by the time I call,lead_quality
F00197,2026-02-01,customer,survey,"Just to say Still waiting for someone to call me back, it's been 6 days Please sort it out",provider_communication
F00198,2026-02-18,provider,support,"not happy. lead was from z06 which i don't even cover, why was it sent to me thanks",lead_quality
F00199,2026-02-19,provider,review,Notifications arrive hours late so I miss leads Would appreciate a reply,app_bug
F00200,2026-01-28,provider,review,"so was promised my money back for the fake enquiry, 6 days later still waiting please sort it out my number is 07700 900852",credits_refund
F00201,2025-12-11,customer,survey,"Honestly, Great tradesperson, tidy and methodical, highly recommend Otherwise fine",workmanship_quality
F00202,2026-01-05,customer,review,"hi, cancelled on me twice last minute, really unreliable been using the site since january email me at kwame45@example.com",provider_no_show
F00203,2026-01-27,provider,survey,FYI Top up went through on my card but the balance didn't change Been using the site since September,credits_refund
F00204,2025-12-15,customer,review,"Feedback: Snapped at me when I asked a question, made the whole thing uncomfortable Second time this has happened email me at fatima24@example.com",workmanship_quality
F00205,2025-12-23,customer,review,"honestly, sent three messages, no reply for a week cheers my number is 07700 900534",provider_communication
F00206,2025-09-03,customer,support,"Brilliant at talking me through the options, I was dreading this and it was painless Second time this has happened Sent from my iPhone",workmanship_quality
F00207,2026-02-24,customer,survey,"two appointments in a row moved at the last minute, i've lost a week please sort it out",provider_no_show
F00208,2026-02-07,customer,support,Nobody got in touch after I filled in the form Second time this has happened Sent from my iPhone,provider_communication
F00209,2026-02-10,provider,review,,credits_refund
F00210,2025-09-14,customer,survey,feedback: provider kwame didn't turn up for the first visit and never called,provider_no_show
F00211,2025-10-13,customer,review,"Hidden fees for materials and disposal, not mentioned before Otherwise fine my number is 07700 900106",price_dispute
F00212,2025-10-20,provider,support,,lead_quality
F00213,2025-12-17,provider,support,"fyi someone wanting an installation sent to me, i only do repairs, that's on you",lead_quality
F00214,2025-10-20,provider,review,"hi, can't update my coverage zones, the save button is greyed out not impressed",app_bug
F00215,2025-10-11,provider,review,nobody got in touch after i filled in the form been using the site since november my number is 07700 900321,provider_communication
F00216,2026-01-07,customer,review,"Feedback: Two appointments in a row moved at the last minute, I've lost a week Not impressed I live near Z21 8DC",provider_no_show
F00217,2025-09-01,customer,support,"Warning light on the boiler the whole time, was told to ignore it Not impressed",safety_issue
F00218,2025-10-31,customer,review,"FYI Sent three messages, no reply for a week Thanks",provider_communication
F00219,2025-09-14,provider,support,"left me waiting at the property in z20 all morning, no message nothing please sort it out Regards,",provider_no_show
F00220,2026-01-30,provider,survey,"update - the refund button does nothing, credits just disappeared my number is 07700 900946",credits_refund
F00221,2025-11-20,provider,support,"So Lead was from Z11 which I don't even cover, why was it sent to me Cheers my number is 07700 900623",lead_quality
F00222,2025-09-17,customer,review,"Snapped at me when I asked a question, made the whole thing uncomfortable",workmanship_quality
F00223,2025-09-10,customer,support,"just to say snapped at me when i asked a question, made the whole thing uncomfortable not impressed",workmanship_quality
F00224,2025-10-16,customer,review,Just to say Paid for the lead apparently but I never heard from anyone Please sort it out Sent from my iPhone,provider_communication
F00225,2026-01-15,customer,survey,Paid for the lead apparently but I never heard from anyone,provider_communication
F00226,2025-10-01,customer,support,"quick one: site left spotless and every connection checked, felt genuinely professional second time this has happened",safety_issue
F00227,2026-01-10,customer,survey,"honestly, really thorough, explained the whole job clearly and finished ahead of time! otherwise fine -- This message was sent via the marketplace app",workmanship_quality
F00228,2025-11-27,provider,support,feedback: customers keep saying they already found someone by the time i call,lead_quality
F00229,2025-10-12,customer,survey,"Quick one: Spent most of the visit on his phone, barely explained anything Would appreciate a reply",workmanship_quality
F00230,2025-12-10,customer,support,good,noise
F00231,2025-11-01,provider,support,so uploaded a new profile photo and it shows sideways been using the site since december,app_bug
F00232,2026-02-12,provider,review,"Update - Charged for a lead I never accepted, please refund Not impressed I live near Z27 1CF Regards,",credits_refund
F00233,2025-09-29,customer,support,"So Explains things in a way that actually makes sense, worth every penny Cheers",workmanship_quality
F00234,2026-01-05,provider,review,"Quick one: Spent most of the visit on his phone, barely explained anything Second time this has happened -- This message was sent via the marketplace app",workmanship_quality
F00235,2025-10-23,customer,support,Feedback: Left exposed wiring behind the panel and said it would be fine Otherwise fine -- This message was sent via the marketplace app,safety_issue
F00236,2025-09-21,customer,review,"Not happy. Warning light on the boiler the whole time, was told to ignore it Been using the site since September",safety_issue
F00237,2025-11-14,provider,survey,"Quick one: Snapped at me when I asked a question, made the whole thing uncomfortable Would appreciate a reply",workmanship_quality
F00238,2025-11-08,provider,support,uploaded a new profile photo and it shows sideways,app_bug
F00239,2026-02-07,customer,review,"Honestly, Filled in my details twice and heard nothing, is this site even active -- This message was sent via the marketplace app",provider_communication
F00240,2025-12-28,provider,review,"Someone wanting an installation sent to me, I only do repairs, that's on you Please sort it out",lead_quality
F00241,2025-10-23,customer,support,"Two appointments in a row moved at the last minute, I've lost a week",provider_no_show
F00242,2025-12-06,customer,review,"honestly, left me waiting at the property in z02 all morning, no message nothing please sort it out",provider_no_show
F00243,2026-01-08,provider,review,so the app crashes every time i open the leads tab second time this has happened,app_bug
F00244,2025-10-06,customer,review,"fyi hidden fees for materials and disposal, not mentioned before my number is 07700 900508",price_dispute
F00245,2025-10-04,provider,review,"Feedback: Lead was from Z16 which I don't even cover, why was it sent to me Thanks",lead_quality
F00246,2026-02-19,customer,survey,so left exposed wiring behind the panel and said it would be fine,safety_issue
F00247,2025-12-15,customer,review,"Great tradesperson, tidy and methodical, highly recommend my number is 07700 900647",workmanship_quality
F00248,2025-09-01,provider,support,"Honestly, Notifications arrive hours late so I miss leads Not impressed -- This message was sent via the marketplace app",app_bug
F00249,2026-01-27,provider,support,Notifications arrive hours late so I miss leads,app_bug
F00250,2026-01-14,customer,support,"Hi, Every visit had a clear plan and a recap at the end, finished in 3 days",workmanship_quality
F00251,2025-10-08,customer,support,"Honestly, Asked for cash up front for the full job then said the rate had gone up I live near Z13 7DD",price_dispute
F00252,2025-11-03,customer,review,"not happy. filled in my details twice and heard nothing, is this site even active",provider_communication
F00253,2025-09-10,provider,support,"Honestly, Can't update my coverage zones, the save button is greyed out",app_bug
F00254,2025-12-17,customer,support,"FYI Snapped at me when I asked a question, made the whole thing uncomfortable",workmanship_quality
F00255,2025-12-03,customer,review,"update - still waiting for someone to call me back, it's been 12 days not impressed Regards,",provider_communication
F00256,2025-11-22,provider,review,Paid for a lead and the customer's number was disconnected Would appreciate a reply,lead_quality
F00257,2025-11-01,customer,review,"Really thorough, explained the whole job clearly and finished ahead of time!",workmanship_quality
F00258,2025-12-27,customer,review,"Not happy. Every visit had a clear plan and a recap at the end, finished in 9 days Would appreciate a reply",workmanship_quality
F00259,2026-02-20,provider,review,"Update - Same customer sent to me twice, charged twice This was in Z05",lead_quality
F00260,2025-11-17,customer,survey,??,noise
F00261,2025-09-09,provider,review,Quick one: Third enquiry this week where the person says they never filled anything in,lead_quality
F00262,2025-11-08,provider,review,"Update - Login loop on Android, keeps sending me back to the start screen This was in Z22",app_bug
